Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,Williams Renault,1:16.841,
2,0,Damon HillHIL,Williams Renault,1:17.192,+0.351s
3,8,Ayrton SennaSEN,McLaren Ford,1:18.727,+1.886s
4,27,Jean AlesiALE,Ferrari,1:18.961,+2.120s
5,5,Michael SchumacherMSC,Benetton Ford,1:19.392,+2.551s
6,12,Johnny HerbertHER,Lotus Ford,1:19.433,+2.592s
7,7,Michael AndrettiAND,McLaren Ford,1:19.509,+2.668s
8,29,Karl WendlingerWEN,Sauber,1:19.515,+2.674s
9,6,Riccardo PatresePAT,Benetton Ford,1:19.721,+2.880s
10,20,Erik ComasCOM,Larrousse Lamborghini,1:19.855,+3.014s
11,14,Rubens BarrichelloBAR,Jordan Hart,1:19.936,+3.095s
12,19,Philippe AlliotALL,Larrousse Lamborghini,1:20.231,+3.390s
13,26,Mark BlundellBLU,Ligier Renault,1:20.316,+3.475s
14,28,Gerhard BergerBER,Ferrari,1:20.528,+3.687s
15,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:20.585,+3.744s
16,25,Martin BrundleBRU,Ligier Renault,1:20.716,+3.875s
17,30,Jyrki JarvilehtoJAR,Sauber,1:20.724,+3.883s
18,11,Alessandro ZanardiZAN,Lotus Ford,1:20.757,+3.916s
19,9,Derek WarwickWAR,Footwork Mugen Honda,1:20.764,+3.923s
20,23,Christian FittipaldiFIT,Minardi Ford,1:20.933,+4.092s
21,22,Luca BadoerBAD,Lola Ferrari,1:21.489,+4.648s
22,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:21.521,+4.680s
23,15,Ivan CapelliCAP,Jordan Hart,1:21.909,+5.068s
24,24,Fabrizio BarbazzaBAR,Minardi Ford,1:22.108,+5.267s
25,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:22.220,+5.379s
26,21,Michele AlboretoALB,Lola Ferrari,1:23.404,+6.563s
