Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,Williams Renault,1:14.758,
2,0,Damon HillHIL,Williams Renault,1:14.979,+0.221s
3,26,Mark BlundellBLU,Ligier Renault,1:16.102,+1.344s
4,5,Michael SchumacherMSC,Benetton Ford,1:16.567,+1.809s
5,25,Martin BrundleBRU,Ligier Renault,1:16.634,+1.876s
6,14,Rubens BarrichelloBAR,Jordan Hart,1:16.948,+2.190s
7,8,Ayrton SennaSEN,McLaren Ford,1:17.113,+2.355s
8,27,Jean AlesiALE,Ferrari,1:17.582,+2.824s
9,19,Philippe AlliotALL,Larrousse Lamborghini,1:17.717,+2.959s
10,7,Michael AndrettiAND,McLaren Ford,1:17.934,+3.176s
11,20,Erik ComasCOM,Larrousse Lamborghini,1:17.946,+3.188s
12,29,Karl WendlingerWEN,Sauber,1:18.103,+3.345s
13,9,Derek WarwickWAR,Footwork Mugen Honda,1:18.187,+3.429s
14,6,Riccardo PatresePAT,Benetton Ford,1:18.392,+3.634s
15,28,Gerhard BergerBER,Ferrari,1:18.408,+3.650s
16,11,Alessandro ZanardiZAN,Lotus Ford,1:18.459,+3.701s
17,24,Fabrizio BarbazzaBAR,Minardi Ford,1:18.525,+3.767s
18,23,Christian FittipaldiFIT,Minardi Ford,1:18.632,+3.874s
19,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:18.646,+3.888s
20,15,Thierry BoutsenBOU,Jordan Hart,1:18.793,+4.035s
21,30,Jyrki JarvilehtoJAR,Sauber,1:18.820,+4.062s
22,22,Luca BadoerBAD,Lola Ferrari,1:19.284,+4.526s
23,21,Michele AlboretoALB,Lola Ferrari,1:20.136,+5.378s
24,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:20.693,+5.935s
25,12,Johnny HerbertHER,Lotus Ford,1:20.831,+6.073s
26,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:27.976,+13.218s
