Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,Williams Renault,1:15.959,
2,0,Damon HillHIL,Williams Renault,1:16.058,+0.099s
3,5,Michael SchumacherMSC,Benetton Ford,1:16.210,+0.251s
4,8,Ayrton SennaSEN,McLaren Ford,1:16.714,+0.755s
5,6,Riccardo PatresePAT,Benetton Ford,1:16.909,+0.950s
6,28,Gerhard BergerBER,Ferrari,1:16.949,+0.990s
7,9,Derek WarwickWAR,Footwork Mugen Honda,1:18.218,+2.259s
8,14,Rubens BarrichelloBAR,Jordan Hart,1:18.442,+2.483s
9,25,Martin BrundleBRU,Ligier Renault,1:18.451,+2.492s
10,23,Christian FittipaldiFIT,Minardi Ford,1:18.493,+2.534s
11,7,Michael AndrettiAND,McLaren Ford,1:18.602,+2.643s
12,26,Mark BlundellBLU,Ligier Renault,1:18.617,+2.658s
13,24,Pierluigi MartiniMAR,Minardi Ford,1:18.678,+2.719s
14,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:18.711,+2.752s
15,12,Johnny HerbertHER,Lotus Ford,1:18.766,+2.807s
16,30,Jyrki JarvilehtoJAR,Sauber,1:19.099,+3.140s
17,29,Karl WendlingerWEN,Sauber,1:19.631,+3.672s
18,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:19.741,+3.782s
19,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:19.762,+3.803s
20,20,Erik ComasCOM,Larrousse Lamborghini,1:20.059,+4.100s
21,19,Philippe AlliotALL,Larrousse Lamborghini,1:20.921,+4.962s
22,15,Thierry BoutsenBOU,Jordan Hart,1:20.960,+5.001s
23,21,Michele AlboretoALB,Lola Ferrari,1:21.746,+5.787s
24,22,Luca BadoerBAD,Lola Ferrari,1:21.779,+5.820s
25,27,Jean AlesiALE,Ferrari,1:22.976,+7.017s
26,11,Alessandro ZanardiZAN,Lotus Ford,1:27.857,+11.898s
