Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,Williams Renault,1:10.716,
2,0,Damon HillHIL,Williams Renault,1:11.175,+0.459s
3,8,Ayrton SennaSEN,McLaren Ford,1:11.552,+0.836s
4,5,Michael SchumacherMSC,Benetton Ford,1:12.647,+1.931s
5,30,Jyrki JarvilehtoJAR,Sauber,1:12.744,+2.028s
6,12,Johnny HerbertHER,Lotus Ford,1:13.011,+2.295s
7,7,Michael AndrettiAND,McLaren Ford,1:13.094,+2.378s
8,19,Philippe AlliotALL,Larrousse Lamborghini,1:13.209,+2.493s
9,9,Derek WarwickWAR,Footwork Mugen Honda,1:13.222,+2.506s
10,27,Jean AlesiALE,Ferrari,1:13.486,+2.770s
11,11,Alessandro ZanardiZAN,Lotus Ford,1:13.515,+2.799s
12,6,Riccardo PatresePAT,Benetton Ford,1:13.516,+2.800s
13,28,Gerhard BergerBER,Ferrari,1:13.644,+2.928s
14,14,Rubens BarrichelloBAR,Jordan Hart,1:13.766,+3.050s
15,23,Christian FittipaldiFIT,Minardi Ford,1:13.791,+3.075s
16,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:14.010,+3.294s
17,20,Erik ComasCOM,Larrousse Lamborghini,1:14.066,+3.350s
18,26,Mark BlundellBLU,Ligier Renault,1:14.158,+3.442s
19,24,Fabrizio BarbazzaBAR,Minardi Ford,1:14.204,+3.488s
20,25,Martin BrundleBRU,Ligier Renault,1:14.242,+3.526s
21,15,Thierry BoutsenBOU,Jordan Hart,1:15.006,+4.290s
22,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:15.327,+4.611s
23,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:15.423,+4.707s
24,22,Luca BadoerBAD,Lola Ferrari,1:15.702,+4.986s
25,21,Michele AlboretoALB,Lola Ferrari,1:15.832,+5.116s
26,29,Karl WendlingerWEN,Sauber,1:16.936,+6.220s
