Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,Williams Renault,1:13.854,
2,0,Damon HillHIL,Williams Renault,1:14.078,+0.224s
3,8,Ayrton SennaSEN,McLaren Ford,1:14.116,+0.262s
4,5,Michael SchumacherMSC,Benetton Ford,1:14.207,+0.353s
5,6,Riccardo PatresePAT,Benetton Ford,1:14.720,+0.866s
6,7,Mika HakkinenHAK,McLaren Ford,1:15.217,+1.363s
7,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:15.395,+1.541s
8,28,Gerhard BergerBER,Ferrari,1:15.894,+2.040s
9,14,Rubens BarrichelloBAR,Jordan Hart,1:15.976,+2.122s
10,29,Karl WendlingerWEN,Sauber,1:16.039,+2.185s
11,9,Derek WarwickWAR,Footwork Mugen Honda,1:16.108,+2.254s
12,26,Mark BlundellBLU,Ligier Renault,1:16.136,+2.282s
13,30,Jyrki JarvilehtoJAR,Sauber,1:16.198,+2.344s
14,25,Martin BrundleBRU,Ligier Renault,1:16.301,+2.447s
15,15,Eddie IrvineIRV,Jordan Hart,1:16.319,+2.465s
16,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:16.563,+2.709s
17,12,Johnny HerbertHER,Lotus Ford,1:16.760,+2.906s
18,24,Pierluigi MartiniMAR,Minardi Ford,1:16.772,+2.918s
19,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:17.180,+3.326s
20,23,Jean-Marc GounonGOU,Minardi Ford,1:17.225,+3.371s
21,11,Pedro LamyLAM,Lotus Ford,1:18.408,+4.554s
22,27,Jean AlesiALE,Ferrari,1:18.453,+4.599s
23,20,Erik ComasCOM,Larrousse Lamborghini,1:19.129,+5.275s
24,19,Toshio  SuzukiSUZ,Larrousse Lamborghini,1:24.191,+10.337s
