Pos,No,Driver,Car,Time
1,28,Fred AgabashianAGA,Kurtis Kraft Cummins,4:20.850
2,9,Andy LindenLIN,Kurtis Kraft Offenhauser,4:22.770
3,4,Jack McGrathMCG,Kurtis Kraft Offenhauser,4:23.420
4,36,Duke NalonNAL,Kurtis Kraft Novi,4:24.340
5,18,Sam HanksHAN,Kurtis Kraft Offenhauser,4:25.220
6,1,Duane CarterCAR,Lesovsky Offenhauser,4:25.640
7,98,Troy RuttmanRUT,Kuzma Offenhauser,4:25.950
8,26,Bill  Vukovich VUK,Kurtis Kraft Offenhauser,4:20.470
9,22,Cliff GriffithGRI,Kurtis Kraft Offenhauser,4:23.510
10,59,Jim RathmannRAT,Kurtis Kraft Offenhauser,4:24.040
11,16,Chuck  StevensonSTE,Kurtis Kraft Offenhauser,4:24.430
12,2,Henry BanksBAN,Lesovsky Offenhauser,4:24.780
13,65,George FonderFON,Sherman Offenhauser,4:24.810
14,54,George ConnorCON,Kurtis Kraft Offenhauser,4:25.470
15,7,Bill SchindlerSCH,Stevens Offenhauser,4:26.690
16,14,Joe JamesJAM,Kurtis Kraft Offenhauser,4:26.760
17,55,Bobby BallBAL,Stevens Offenhauser,4:27.210
18,67,Gene HartleyHAR,Kurtis Kraft Offenhauser,4:27.970
19,12,Alberto AscariASC,Ferrari,4:28.040
20,33,Art CrossCRO,Kurtis Kraft Offenhauser,4:28.080
21,77,Jimmy BryanBRY,Kurtis Kraft Offenhauser,4:28.370
22,34,Rodger WardWAR,Kurtis Kraft Offenhauser,4:28.380
23,37,Jimmy ReeceREE,Kurtis Kraft Offenhauser,4:28.670
24,81,Eddie JohnsonJOH,Trevis Offenhauser,4:28.710
25,93,Bob ScottSCO,Kurtis Kraft Offenhauser,4:28.750
26,29,Jim RigsbyRIG,Watson Offenhauser,4:28.850
27,21,Chet  MillerMIL,Kurtis Kraft Novi,4:18.930
28,8,Manny AyuloAYU,Lesovsky Offenhauser,4:24.740
29,48,Spider WebbWEB,Bromme Offenhauser,4:24.780
30,27,Tony  BettenhausenBET,Deidt Offenhauser,4:25.910
31,5,Johnnie  ParsonsPAR,Kurtis Kraft Offenhauser,4:26.020
32,73,Bob SweikertSWE,Kurtis Kraft Offenhauser,4:26.700
33,31,Johnny McDowellMCD,Kurtis Kraft Offenhauser,4:28.780
