Pos,No,Driver,Car,Time
1,2,Alberto AscariASC,Ferrari,1:46.500
2,4,Nino FarinaFAR,Ferrari,1:48.600
3,32,Mike HawthornHAW,Cooper Bristol,1:51.600
4,6,Luigi  VilloresiVIL,Ferrari,1:51.800
5,12,Maurice  TrintignantTRI,Gordini,1:53.000
6,8,Jean BehraBEH,Gordini,1:54.500
7,34,Ken  WhartonWHA,Cooper Bristol,1:54.700
9,26,Lance MacklinMAC,HWM Alta,1:55.200
10,28,Duncan  Hamilton HAM,HWM Alta,1:55.800
11,14,Paul FrereFRE,Simca-Gordini,1:58.200
12,18,Gino BiancoBIA,Maserati,1:58.200
13,22,Ken  DowningDOW,Connaught Lea Francis,1:58.600
14,30,Dries van der Lof VAN,HWM Alta,1:59.400
15,20,Jan FlintermanFLI,Maserati,2:01.800
16,16,Chico LandiLAN,Maserati,2:02.100
17,24,Charles de TornacoDET,Ferrari,2:03.700
18,36,Stirling MossMOS,ERA Bristol,
