Pos,No,Driver,Car,Time
1,28,Nino FarinaFAR,Ferrari,2:47.500
2,30,Piero  TaruffiTAR,Ferrari,2:50.100
3,8,Robert  ManzonMAN,Gordini,2:52.100
4,32,Andre  SimonSIM,Ferrari,2:52.400
5,42,Rudi  Fischer FIS,Ferrari,2:53.300
6,18,Peter CollinsCOL,HWM Alta,2:55.900
7,6,Jean BehraBEH,Gordini,2:55.900
8,38,Toulo de GraffenriedDEG,Maserati Plate,2:56.400
9,46,Stirling MossMOS,HWM Alta,2:56.400
10,16,George  Abecassis ABE,HWM Alta,2:56.900
11,10,Prince BiraBIR,Gordini,2:59.300
12,20,Lance MacklinMAC,HWM Alta,3:00.200
13,22,Ken  WhartonWHA,Cooper Bristol,3:00.900
14,2,Hans Von StuckSTU,AFM Kuchen,3:01.700
15,26,Alan BrownBRO,Cooper Bristol,3:02.500
16,4,Toni UlmenULM,Veritas,3:05.600
17,24,Eric  BrandonBRA,Cooper Bristol,3:05.800
18,40,Harry SchellSCH,Maserati Plate,3:07.600
19,44,Peter HirtHIR,Ferrari,3:10.200
20,12,Louis  RosierROS,Ferrari,
21,50,Max de TerraDET,Simca-Gordini,
