Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,7,1:29.468,207.144
2,10,Takuma SatoSAT,BAR Honda,11,1:30.004,205.910
3,2,Rubens BarrichelloBAR,Ferrari,14,1:30.101,205.689
4,9,Jenson ButtonBUT,BAR Honda,13,1:30.457,204.879
5,8,Fernando AlonsoALO,Renault,29,1:31.065,203.511
6,7,Jarno TrulliTRU,Renault,30,1:31.131,203.364
7,11,Giancarlo FisichellaFIS,Sauber Petronas,23,1:31.413,202.737
8,3,Juan Pablo MontoyaMOY,Williams BMW,43,1:31.424,202.712
9,6,Kimi RäikkönenRAI,McLaren Mercedes,2,1:31.670,202.168
10,14,Mark WebberWEB,Jaguar Cosworth,37,1:31.893,201.678
11,18,Nick HeidfeldHEI,Jordan Ford,55,1:32.121,201.178
12,5,David CoulthardCOU,McLaren Mercedes,14,1:32.337,200.708
13,17,Olivier PanisPAN,Toyota,12,1:32.506,200.341
14,12,Felipe MassaMAS,Sauber Petronas,37,1:32.729,199.859
15,19,Giorgio PantanoPAN,Jordan Ford,27,1:32.772,199.767
16,15,Christian KlienKLI,Jaguar Cosworth,14,1:32.804,199.698
17,21,Zsolt BaumgartnerBAU,Minardi Cosworth,46,1:34.666,195.770
18,20,Gianmaria BruniBRU,Minardi Cosworth,7,1:35.555,193.949
