Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,Rubens BarrichelloBAR,Ferrari,41,1:21.046,257.320
2,1,Michael SchumacherMSC,Ferrari,35,1:21.361,256.324
3,4,Antonio PizzoniaPIZ,Williams BMW,32,1:22.246,253.566
4,11,Giancarlo FisichellaFIS,Sauber Petronas,51,1:22.615,252.433
5,10,Takuma SatoSAT,BAR Honda,32,1:22.660,252.296
6,9,Jenson ButtonBUT,BAR Honda,13,1:22.671,252.262
7,7,Jarno TrulliTRU,Renault,52,1:22.855,251.702
8,8,Fernando AlonsoALO,Renault,31,1:22.881,251.623
9,5,David CoulthardCOU,McLaren Mercedes,24,1:22.889,251.599
10,3,Juan Pablo MontoyaMOY,Williams BMW,32,1:22.929,251.477
11,12,Felipe MassaMAS,Sauber Petronas,50,1:22.941,251.441
12,14,Mark WebberWEB,Jaguar Cosworth,53,1:23.090,250.990
13,6,Kimi RäikkönenRAI,McLaren Mercedes,11,1:23.365,250.162
14,16,Ricardo ZontaZON,Toyota,52,1:23.410,250.027
15,15,Christian KlienKLI,Jaguar Cosworth,29,1:23.432,249.961
16,19,Giorgio PantanoPAN,Jordan Ford,13,1:24.061,248.091
17,18,Nick HeidfeldHEI,Jordan Ford,23,1:24.166,247.781
18,21,Zsolt BaumgartnerBAU,Minardi Cosworth,31,1:26.356,241.497
19,20,Gianmaria BruniBRU,Minardi Cosworth,24,1:26.371,241.456
