Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,7,1:30.252,216.074
2,8,Fernando AlonsoALO,Renault,39,1:30.654,215.116
3,4,Ralf SchumacherRSC,Williams BMW,56,1:30.781,214.815
4,2,Rubens BarrichelloBAR,Ferrari,29,1:30.876,214.591
5,9,Jenson ButtonBUT,BAR Honda,24,1:30.960,214.393
6,3,Juan Pablo MontoyaMOY,Williams BMW,28,1:30.977,214.353
7,10,Takuma SatoSAT,BAR Honda,55,1:31.101,214.061
8,7,Jarno TrulliTRU,Renault,24,1:31.421,213.312
9,5,David CoulthardCOU,McLaren Mercedes,19,1:31.861,212.290
10,14,Mark WebberWEB,Jaguar Cosworth,19,1:32.277,211.333
11,16,Cristiano da MattaDAM,Toyota,23,1:32.319,211.237
12,11,Giancarlo FisichellaFIS,Sauber Petronas,40,1:32.329,211.214
13,17,Olivier PanisPAN,Toyota,22,1:32.401,211.049
14,15,Christian KlienKLI,Jaguar Cosworth,38,1:32.533,210.748
15,12,Felipe MassaMAS,Sauber Petronas,44,1:32.690,210.391
16,18,Nick HeidfeldHEI,Jordan Ford,56,1:33.284,209.051
17,6,Kimi RäikkönenRAI,McLaren Mercedes,7,1:33.527,208.508
18,19,Giorgio PantanoPAN,Jordan Ford,9,1:34.032,207.388
19,21,Zsolt BaumgartnerBAU,Minardi Cosworth,24,1:34.555,206.241
20,20,Gianmaria BruniBRU,Minardi Cosworth,40,1:35.130,204.995
