Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,55,1:32.238,212.749
2,2,Rubens BarrichelloBAR,Ferrari,28,1:32.455,212.250
3,6,Kimi RäikkönenRAI,McLaren Mercedes,53,1:32.876,211.288
4,9,Jenson ButtonBUT,BAR Honda,33,1:32.935,211.154
5,3,Juan Pablo MontoyaMOY,Williams BMW,34,1:33.108,210.761
6,12,Felipe MassaMAS,Sauber Petronas,43,1:33.483,209.916
7,11,Giancarlo FisichellaFIS,Sauber Petronas,25,1:33.520,209.833
8,10,Takuma SatoSAT,BAR Honda,36,1:33.533,209.804
9,4,Ralf SchumacherRSC,Williams BMW,31,1:33.546,209.774
10,8,Fernando AlonsoALO,Renault,55,1:33.625,209.597
11,5,David CoulthardCOU,McLaren Mercedes,26,1:33.727,209.369
12,16,Ricardo ZontaZON,Toyota,24,1:34.269,208.165
13,17,Olivier PanisPAN,Toyota,51,1:34.603,207.431
14,18,Nick HeidfeldHEI,Jordan Ford,55,1:34.717,207.181
15,14,Mark WebberWEB,Jaguar Cosworth,32,1:34.893,206.797
16,19,Timo GlockGLO,Jordan Ford,54,1:34.931,206.714
17,7,Jacques VilleneuveVIL,Renault,55,1:34.950,206.672
18,15,Christian KlienKLI,Jaguar Cosworth,10,1:36.888,202.539
19,20,Gianmaria BruniBRU,Minardi Cosworth,23,1:37.377,201.521
20,21,Zsolt BaumgartnerBAU,Minardi Cosworth,51,1:37.578,201.106
