Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,23,1:14.439,161.528
2,7,Jarno TrulliTRU,Renault,22,1:14.870,160.598
3,9,Jenson ButtonBUT,BAR Honda,40,1:15.220,159.851
4,8,Fernando AlonsoALO,Renault,23,1:15.226,159.838
5,3,Juan Pablo MontoyaMOY,Williams BMW,41,1:15.395,159.480
6,2,Rubens BarrichelloBAR,Ferrari,16,1:15.763,158.705
7,6,Kimi RäikkönenRAI,McLaren Mercedes,15,1:16.203,157.789
8,16,Cristiano da MattaDAM,Toyota,22,1:16.232,157.729
9,17,Olivier PanisPAN,Toyota,57,1:16.494,157.188
10,12,Felipe MassaMAS,Sauber Petronas,23,1:17.151,155.850
11,14,Mark WebberWEB,Jaguar Cosworth,11,1:17.466,155.216
12,4,Ralf SchumacherRSC,Williams BMW,18,1:17.588,154.972
13,18,Nick HeidfeldHEI,Jordan Ford,35,1:18.262,153.637
14,19,Giorgio PantanoPAN,Jordan Ford,10,1:19.415,151.407
15,5,David CoulthardCOU,McLaren Mercedes,2,1:20.560,149.255
16,11,Giancarlo FisichellaFIS,Sauber Petronas,2,1:20.804,148.804
17,10,Takuma SatoSAT,BAR Honda,2,1:21.368,147.773
18,20,Gianmaria BruniBRU,Minardi Cosworth,10,1:21.592,147.367
19,21,Zsolt BaumgartnerBAU,Minardi Cosworth,2,1:21.886,146.838
