Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,Rubens BarrichelloBAR,Ferrari,30,1:32.730,225.441
2,1,Michael SchumacherMSC,Ferrari,41,1:32.796,225.281
3,4,Ralf SchumacherRSC,Williams BMW,23,1:33.467,223.663
4,12,Felipe MassaMAS,Sauber Petronas,40,1:33.614,223.312
5,10,Takuma SatoSAT,BAR Honda,28,1:33.742,223.007
6,3,Juan Pablo MontoyaMOY,Williams BMW,30,1:33.779,222.919
7,9,Jenson ButtonBUT,BAR Honda,33,1:33.819,222.824
8,11,Giancarlo FisichellaFIS,Sauber Petronas,44,1:33.850,222.751
9,5,David CoulthardCOU,McLaren Mercedes,14,1:33.917,222.592
10,6,Kimi RäikkönenRAI,McLaren Mercedes,35,1:33.920,222.585
11,14,Mark WebberWEB,Jaguar Cosworth,13,1:34.229,221.855
12,8,Fernando AlonsoALO,Renault,29,1:34.279,221.737
13,17,Olivier PanisPAN,Toyota,11,1:34.438,221.364
14,16,Jarno TrulliTRU,Toyota,52,1:34.626,220.924
15,15,Christian KlienKLI,Jaguar Cosworth,32,1:35.261,219.451
16,7,Jacques VilleneuveVIL,Renault,28,1:35.290,219.385
17,18,Nick HeidfeldHEI,Jordan Ford,25,1:35.524,218.847
18,19,Timo GlockGLO,Jordan Ford,14,1:36.667,216.259
19,20,Gianmaria BruniBRU,Minardi Cosworth,27,1:39.352,210.415
20,21,Zsolt BaumgartnerBAU,Minardi Cosworth,26,1:39.434,210.241
