Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,10,1:20.411,220.850
2,9,Jenson ButtonBUT,BAR Honda,28,1:21.201,218.701
3,8,Fernando AlonsoALO,Renault,59,1:21.650,217.499
4,7,Jarno TrulliTRU,Renault,11,1:21.666,217.456
5,4,Ralf SchumacherRSC,Williams BMW,30,1:21.689,217.395
6,3,Juan Pablo MontoyaMOY,Williams BMW,27,1:21.870,216.914
7,2,Rubens BarrichelloBAR,Ferrari,31,1:21.873,216.906
8,10,Takuma SatoSAT,BAR Honda,44,1:21.929,216.758
9,6,Kimi RäikkönenRAI,McLaren Mercedes,39,1:22.500,215.258
10,11,Giancarlo FisichellaFIS,Sauber Petronas,60,1:22.654,214.857
11,17,Olivier PanisPAN,Toyota,59,1:22.861,214.320
12,12,Felipe MassaMAS,Sauber Petronas,36,1:22.895,214.232
13,14,Mark WebberWEB,Jaguar Cosworth,55,1:22.931,214.139
14,5,David CoulthardCOU,McLaren Mercedes,42,1:22.951,214.087
15,16,Cristiano da MattaDAM,Toyota,25,1:23.108,213.683
16,18,Nick HeidfeldHEI,Jordan Ford,44,1:23.381,212.983
17,15,Christian KlienKLI,Jaguar Cosworth,27,1:23.647,212.306
18,19,Giorgio PantanoPAN,Jordan Ford,6,1:25.457,207.809
19,21,Zsolt BaumgartnerBAU,Minardi Cosworth,58,1:26.075,206.317
20,20,Gianmaria BruniBRU,Minardi Cosworth,11,1:26.857,204.460
