Pos,No,Driver,Car,Time
1,5,Jack BrabhamBRA,Brabham Climax,1:08.420
2,1,Jim ClarkCLA,Lotus Climax,1:08.530
3,9,Lorenzo BandiniBAN,Ferrari,1:08.570
4,7,John SurteesSUR,Cooper Maserati,1:08.730
5,3,Graham HillHIL,BRM,1:08.870
6,4,Jackie StewartSTE,BRM,1:09.170
7,6,Denny HulmeHUL,Brabham Climax,1:09.280
8,12,Richie GintherGIN,Honda,1:09.370
9,8,Jochen RindtRIN,Cooper Maserati,1:09.630
10,11,Pedro RodriguezROD,Lotus Climax,1:10.400
11,17,Bruce McLarenMCL,McLaren Serenissima,1:10.570
12,18,Mike SpenceSPE,Lotus BRM,1:10.730
13,19,Jo SiffertSIF,Cooper Maserati,1:10.970
14,15,Dan GurneyGUR,Eagle Climax,1:11.030
15,22,Jo BonnierBON,Brabham Climax,1:11.400
16,16,Bob BondurantBON,Eagle Climax,1:12.400
17,10,Innes IrelandIRE,BRM,1:12.630
18,14,Ronnie BucknumBUC,Honda,1:12.700
19,2,Peter  Arundell ARU,Lotus Climax,
