Pos,No,Driver,Car,Time
1,6,John SurteesSUR,Ferrari,3:38.000
2,19,Jochen RindtRIN,Cooper Maserati,3:41.200
3,15,Jackie StewartSTE,BRM,3:41.500
4,3,Jack BrabhamBRA,Brabham Climax,3:41.800
5,7,Lorenzo BandiniBAN,Ferrari,3:43.800
6,20,Jo BonnierBON,Brabham Climax,3:44.300
7,16,Mike SpenceSPE,Lotus BRM,3:45.200
8,18,Richie GintherGIN,Cooper Maserati,3:45.400
9,14,Graham HillHIL,BRM,3:45.600
10,10,Jim ClarkCLA,Lotus Climax,3:45.800
11,24,Bob BondurantBON,BRM,3:50.500
12,22,Guy  Ligier LIG,Cooper Maserati,3:51.100
13,4,Denny HulmeHUL,Brabham Climax,3:51.400
14,21,Jo SiffertSIF,Cooper Maserati,3:53.800
15,27,Dan GurneyGUR,Eagle Climax,3:57.600
