Pos,No,Driver,Car,Time,Gap,Laps
1,38,Ricardo ZontaZON,Toyota,1:34.092,,17
2,35,Pedro de la RosaDLR,McLaren Mercedes,1:35.144,+1.052s,15
3,37,Vitantonio LiuzziLIU,RBR Cosworth,1:35.691,+1.599s,18
4,1,Michael SchumacherMSC,Ferrari,1:36.011,+1.919s,13
5,3,Jenson ButtonBUT,BAR Honda,1:36.513,+2.421s,9
6,8,Nick HeidfeldHEI,Williams BMW,1:36.551,+2.459s,7
7,9,Kimi RäikkönenRAI,McLaren Mercedes,1:36.563,+2.471s,6
8,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:36.610,+2.518s,5
9,12,Felipe MassaMAS,Sauber Petronas,1:36.963,+2.871s,4
10,7,Mark WebberWEB,Williams BMW,1:36.989,+2.897s,8
11,17,Ralf SchumacherRSC,Toyota,1:37.168,+3.076s,5
12,14,David CoulthardCOU,RBR Cosworth,1:37.338,+3.246s,8
13,4,Takuma SatoSAT,BAR Honda,1:37.366,+3.274s,9
14,15,Christian KlienKLI,RBR Cosworth,1:37.642,+3.550s,9
15,2,Rubens BarrichelloBAR,Ferrari,1:37.843,+3.751s,4
16,11,Jacques VilleneuveVIL,Sauber Petronas,1:38.416,+4.324s,8
17,18,Tiago MonteiroMON,Jordan Toyota,1:39.571,+5.479s,18
18,39,Robert DoornbosDOO,Jordan Toyota,1:40.289,+6.197s,20
19,19,Narain KarthikeyanKAR,Jordan Toyota,1:40.375,+6.283s,14
20,20,Patrick Friesacher FRI,Minardi Cosworth,1:43.574,+9.482s,18
21,21,Christijan AlbersALB,Minardi Cosworth,1:43.691,+9.599s,12
22,6,Giancarlo FisichellaFIS,Renault,,,2
23,5,Fernando AlonsoALO,Renault,,,2
24,16,Jarno TrulliTRU,Toyota,,,2
