Pos,No,Driver,Car,Time
1,5,Nigel MansellMAN,Williams Renault,1:50.545
2,1,Ayrton SennaSEN,McLaren Honda,1:52.743
3,19,Michael SchumacherMSC,Benetton Ford,1:53.221
4,6,Riccardo PatresePAT,Williams Renault,1:53.557
5,27,Jean AlesiALE,Ferrari,1:54.438
6,2,Gerhard BergerBER,McLaren Honda,1:54.642
7,25,Thierry BoutsenBOU,Ligier Renault,1:54.654
8,11,Mika HakkinenHAK,Lotus Ford,1:54.812
9,20,Martin BrundleBRU,Benetton Ford,1:54.973
10,12,Johnny HerbertHER,Lotus Ford,1:55.027
11,15,Gabriele TarquiniTAR,Fondmetal Ford,1:55.965
12,28,Ivan CapelliCAP,Ferrari,1:56.075
13,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:56.111
14,9,Michele AlboretoALB,Footwork Mugen Honda,1:56.282
15,14,Eric van de PoeleVAN,Fondmetal Ford,1:56.674
16,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:56.809
17,32,Stefano ModenaMOD,Jordan Yamaha,1:56.889
18,16,Karl WendlingerWEN,March Ilmor,1:57.039
19,22,Pierluigi MartiniMAR,Dallara Ferrari,1:57.267
20,29,Bertrand GachotGAC,Venturi Lamborghini,1:57.330
21,17,Emanuele NaspettiNAS,March Ilmor,1:57.794
22,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:57.818
23,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:58.126
24,33,Mauricio GugelminGUG,Jordan Yamaha,1:58.499
25,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:58.826
26,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:59.383
27,23,Christian FittipaldiFIT,Minardi Lamborghini,1:59.626
28,34,Roberto MorenoMOR,Moda Judd,2:05.096
29,35,Perry McCarthyMCC,Moda Judd,2:15.050
