Pos,No,Driver,Car,Time
1,5,Nigel MansellMAN,Williams Renault,1:16.346
2,6,Riccardo PatresePAT,Williams Renault,1:16.362
3,19,Michael SchumacherMSC,Benetton Ford,1:17.292
4,20,Martin BrundleBRU,Benetton Ford,1:18.588
5,2,Gerhard BergerBER,McLaren Honda,1:18.589
6,1,Ayrton SennaSEN,McLaren Honda,1:18.791
7,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:19.111
8,33,Mauricio GugelminGUG,Jordan Yamaha,1:19.355
9,22,Pierluigi MartiniMAR,Dallara Ferrari,1:19.378
10,27,Jean AlesiALE,Ferrari,1:19.417
11,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:19.423
12,12,Johnny HerbertHER,Lotus Ford,1:19.509
13,29,Bertrand GachotGAC,Venturi Lamborghini,1:19.743
14,15,Gabriele TarquiniTAR,Fondmetal Ford,1:19.769
15,32,Stefano ModenaMOD,Jordan Yamaha,1:19.957
16,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:19.961
17,23,Christian FittipaldiFIT,Minardi Lamborghini,1:20.042
18,11,Mika HakkinenHAK,Lotus Ford,1:20.145
19,16,Karl WendlingerWEN,March Ilmor,1:20.200
20,28,Ivan CapelliCAP,Ferrari,1:20.223
21,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:20.227
22,25,Thierry BoutsenBOU,Ligier Renault,1:20.395
23,14,Andrea ChiesaCHI,Fondmetal Ford,1:20.845
24,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:20.935
25,9,Michele AlboretoALB,Footwork Mugen Honda,1:21.064
26,26,Erik ComasCOM,Ligier Renault,1:21.122
27,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:21.187
28,17,Paul BelmondoBEL,March Ilmor,1:21.504
29,7,Eric van de PoeleVAN,Brabham Judd,1:22.197
30,8,Giovanna AmatiAMA,Brabham Judd,1:25.052
