Pos,No,Driver,Car,Time
1,5,Nigel MansellMAN,Williams Renault,1:13.732
2,1,Ayrton SennaSEN,McLaren Honda,1:14.202
3,6,Riccardo PatresePAT,Williams Renault,1:14.370
4,2,Gerhard BergerBER,McLaren Honda,1:15.114
5,19,Michael SchumacherMSC,Benetton Ford,1:15.210
6,27,Jean AlesiALE,Ferrari,1:16.091
7,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:16.440
8,20,Martin BrundleBRU,Benetton Ford,1:16.562
9,26,Erik ComasCOM,Ligier Renault,1:16.727
10,11,Mika HakkinenHAK,Lotus Ford,1:16.863
11,9,Michele AlboretoALB,Footwork Mugen Honda,1:16.937
12,12,Johnny HerbertHER,Lotus Ford,1:16.944
13,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:17.037
14,22,Pierluigi MartiniMAR,Dallara Ferrari,1:17.047
15,32,Stefano ModenaMOD,Jordan Yamaha,1:17.231
16,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:17.333
17,23,Christian FittipaldiFIT,Minardi Lamborghini,1:17.367
18,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:17.409
19,28,Nicola LariniLAR,Ferrari,1:17.465
20,33,Mauricio GugelminGUG,Jordan Yamaha,1:17.805
21,29,Bertrand GachotGAC,Venturi Lamborghini,1:17.808
22,25,Thierry BoutsenBOU,Ligier Renault,1:17.957
23,17,Emanuele NaspettiNAS,March Ilmor,1:18.138
24,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:18.565
25,16,Jan LammersLAM,March Ilmor,1:18.843
26,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:18.862
