Pos,No,Driver,Car,Time
1,9,Michele AlboretoALB,Footwork Mugen Honda,1:25.413
1,5,Nigel MansellMAN,Williams Renault,1:19.495
2,6,Riccardo PatresePAT,Williams Renault,1:20.368
2,29,Bertrand GachotGAC,Venturi Lamborghini,1:25.980
3,1,Ayrton SennaSEN,McLaren Honda,1:20.608
3,34,Roberto MorenoMOR,Moda Judd,1:27.186
4,14,Andrea ChiesaCHI,Fondmetal Ford,1:27.756
4,27,Jean AlesiALE,Ferrari,1:20.895
5,2,Gerhard BergerBER,McLaren Honda,1:21.224
5,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:28.310
6,19,Michael SchumacherMSC,Benetton Ford,1:21.831
6,35,Perry McCarthyMCC,Moda Judd,7:05.924
7,20,Martin BrundleBRU,Benetton Ford,1:22.068
8,28,Ivan CapelliCAP,Ferrari,1:22.119
9,12,Johnny HerbertHER,Lotus Ford,1:22.579
10,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:22.647
12,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:22.733
13,33,Mauricio GugelminGUG,Jordan Yamaha,1:22.863
14,11,Mika HakkinenHAK,Lotus Ford,1:22.886
16,16,Karl WendlingerWEN,March Ilmor,1:23.264
17,23,Christian FittipaldiFIT,Minardi Lamborghini,1:23.487
18,22,Pierluigi MartiniMAR,Dallara Ferrari,1:23.508
19,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:23.641
20,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:23.862
21,32,Stefano ModenaMOD,Jordan Yamaha,1:23.890
22,25,Thierry BoutsenBOU,Ligier Renault,1:23.909
23,26,Erik ComasCOM,Ligier Renault,1:23.974
24,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:23.990
25,15,Gabriele TarquiniTAR,Fondmetal Ford,1:24.479
27,7,Eric van de PoeleVAN,Brabham Judd,1:24.981
28,8,Damon HillHIL,Brabham Judd,1:25.394
30,17,Paul BelmondoBEL,March Ilmor,1:25.750
