Pos,No,Driver,Car,Time
1,28,Rene ArnouxARN,Ferrari,1:09.462
2,27,Patrick TambayTAM,Ferrari,1:10.104
3,15,Alain ProstPRO,Renault,1:10.170
4,11,Elio de AngelisDEA,Lotus Renault,1:10.771
5,6,Riccardo PatresePAT,Brabham BMW,1:10.881
6,5,Nelson PiquetPIQ,Brabham BMW,1:10.933
7,16,Eddie  CheeverCHE,Renault,1:11.055
8,9,Manfred WinkelhockWIN,ATS BMW,1:11.687
9,22,Andrea de CesarisDEC,Alfa Romeo,1:12.150
10,35,Derek WarwickWAR,Toleman Hart,1:12.528
11,23,Mauro BaldiBAL,Alfa Romeo,1:12.860
12,36,Bruno GiacomelliGIA,Toleman Hart,1:13.422
13,1,Keke RosbergROS,Williams Ford,1:13.755
14,40,Stefan JohanssonJOH,Spirit Honda,1:13.962
15,8,Niki LaudaLAU,McLaren Ford,1:14.267
16,3,Michele AlboretoALB,Tyrrell Ford,1:14.651
17,30,Thierry BoutsenBOU,Arrows Ford,1:14.964
18,12,Nigel MansellMAN,Lotus Renault,1:15.133
19,29,Marc SurerSUR,Arrows Ford,1:15.135
20,2,Jacques LaffiteLAF,Williams Ford,1:15.234
21,33,Roberto GuerreroGUE,Theodore Ford,1:15.317
22,26,Raul BoeselBOE,Ligier Ford,1:15.386
23,4,Danny SullivanSUL,Tyrrell Ford,1:15.449
24,7,John WatsonWAT,McLaren Ford,1:15.609
25,25,Jean-Pierre JarierJAR,Ligier Ford,1:15.767
26,32,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:16.544
NC,34,Johnny CecottoCEC,Theodore Ford,1:16.714
NC,31,Corrado FabiFAB,Osella Alfa Romeo,1:17.594
NC,17,Kenny AchesonACH,RAM Ford,1:18.103
