Pos,No,Driver,Car,Time
1,28,Rene ArnouxARN,Ferrari,1:28.729
2,15,Alain ProstPRO,Renault,1:28.830
3,5,Nelson PiquetPIQ,Brabham BMW,1:28.887
4,27,Patrick TambayTAM,Ferrari,1:28.992
5,6,Riccardo PatresePAT,Brabham BMW,1:29.549
6,16,Eddie  CheeverCHE,Renault,1:29.863
7,9,Manfred WinkelhockWIN,ATS BMW,1:30.966
8,22,Andrea de CesarisDEC,Alfa Romeo,1:31.173
9,1,Keke RosbergROS,Williams Ford,1:31.480
10,36,Bruno GiacomelliGIA,Toleman Hart,1:31.586
11,11,Elio de AngelisDEA,Lotus Renault,1:31.822
12,35,Derek WarwickWAR,Toleman Hart,1:32.116
13,2,Jacques LaffiteLAF,Williams Ford,1:32.185
14,29,Marc SurerSUR,Arrows Ford,1:32.540
15,30,Thierry BoutsenBOU,Arrows Ford,1:32.576
16,25,Jean-Pierre JarierJAR,Ligier Ford,1:32.642
17,3,Michele AlboretoALB,Tyrrell Ford,1:33.175
18,12,Nigel MansellMAN,Lotus Ford,1:33.588
19,8,Niki LaudaLAU,McLaren Ford,1:33.671
20,7,John WatsonWAT,McLaren Ford,1:33.705
21,33,Roberto GuerreroGUE,Theodore Ford,1:33.721
22,4,Danny SullivanSUL,Tyrrell Ford,1:33.791
23,34,Johnny CecottoCEC,Theodore Ford,1:34.314
24,26,Raul BoeselBOE,Ligier Ford,1:34.486
25,31,Corrado FabiFAB,Osella Ford,1:34.544
26,23,Mauro BaldiBAL,Alfa Romeo,1:34.755
NC,17,Jacques VilleneuveVIL,RAM Ford,1:35.133
NC,32,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:35.171
