Pos,No,Driver,Car,Time
1,27,Patrick TambayTAM,Ferrari,1:06.554
2,5,Nelson PiquetPIQ,Brabham BMW,1:06.792
3,6,Riccardo PatresePAT,Brabham BMW,1:07.001
4,28,Rene ArnouxARN,Ferrari,1:07.105
5,15,Alain ProstPRO,Renault,1:07.186
6,1,Keke RosbergROS,Williams Honda,1:07.256
7,12,Nigel MansellMAN,Lotus Renault,1:07.643
8,9,Manfred WinkelhockWIN,ATS BMW,1:07.682
9,22,Andrea de CesarisDEC,Alfa Romeo,1:07.759
10,2,Jacques LaffiteLAF,Williams Honda,1:07.931
11,11,Elio de AngelisDEA,Lotus Renault,1:07.937
12,8,Niki LaudaLAU,McLaren TAG,1:07.974
13,35,Derek WarwickWAR,Toleman Hart,1:08.061
14,16,Eddie  CheeverCHE,Renault,1:08.069
15,7,John WatsonWAT,McLaren TAG,1:08.328
16,36,Bruno GiacomelliGIA,Toleman Hart,1:08.350
17,23,Mauro BaldiBAL,Alfa Romeo,1:08.628
18,3,Michele AlboretoALB,Tyrrell Ford,1:11.096
19,4,Danny SullivanSUL,Tyrrell Ford,1:11.382
20,30,Thierry BoutsenBOU,Arrows Ford,1:11.658
21,25,Jean-Pierre JarierJAR,Ligier Ford,1:12.017
22,29,Marc SurerSUR,Arrows Ford,1:12.049
23,26,Raul BoeselBOE,Ligier Ford,1:12.745
24,17,Kenny AchesonACH,RAM Ford,1:13.352
25,31,Corrado FabiFAB,Osella Alfa Romeo,1:13.656
26,32,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:14.903
