Pos,No,Driver,Car,Time
1,1,Keke RosbergROS,Williams Ford,1:34.526
2,15,Alain ProstPRO,Renault,1:34.672
3,27,Patrick TambayTAM,Ferrari,1:34.758
4,5,Nelson PiquetPIQ,Brabham BMW,1:35.114
5,35,Derek WarwickWAR,Toleman Hart,1:35.206
6,28,Rene ArnouxARN,Ferrari,1:35.547
7,6,Riccardo PatresePAT,Brabham BMW,1:35.958
8,16,Eddie  CheeverCHE,Renault,1:36.051
9,8,Niki LaudaLAU,McLaren Ford,1:36.054
10,23,Mauro BaldiBAL,Alfa Romeo,1:36.126
11,3,Michele AlboretoALB,Tyrrell Ford,1:36.291
12,25,Jean-Pierre JarierJAR,Ligier Ford,1:36.393
13,11,Elio de AngelisDEA,Lotus Renault,1:36.454
14,33,Roberto GuerreroGUE,Theodore Ford,1:36.694
15,36,Bruno GiacomelliGIA,Toleman Hart,1:36.747
16,7,John WatsonWAT,McLaren Ford,1:36.977
17,26,Raul BoeselBOE,Ligier Ford,1:37.729
18,2,Jacques LaffiteLAF,Williams Ford,1:38.234
19,34,Johnny CecottoCEC,Theodore Ford,1:38.378
20,29,Marc SurerSUR,Arrows Ford,1:38.468
21,4,Danny SullivanSUL,Tyrrell Ford,1:38.686
22,12,Nigel MansellMAN,Lotus Ford,1:39.154
23,30,Chico SerraSER,Arrows Ford,1:39.965
24,31,Corrado FabiFAB,Osella Ford,1:40.309
25,9,Manfred WinkelhockWIN,ATS BMW,1:41.153
26,17,Eliseo SalazarSAL,RAM Ford,1:41.478
NC,32,Piercarlo GhinzaniGHI,Osella Ford,1:42.267
