Pos,No,Driver,Car,Time
1,28,Rene ArnouxARN,Ferrari,1:44.734
2,5,Nelson PiquetPIQ,Brabham BMW,1:44.933
3,27,Patrick TambayTAM,Ferrari,1:45.991
4,11,Elio de AngelisDEA,Lotus Renault,1:46.258
5,29,Marc SurerSUR,Arrows Ford,1:46.745
6,3,Michele AlboretoALB,Tyrrell Ford,1:47.013
7,16,Eddie  CheeverCHE,Renault,1:47.334
8,22,Andrea de CesarisDEC,Alfa Romeo,1:47.453
9,35,Derek WarwickWAR,Toleman Hart,1:47.534
10,30,Thierry BoutsenBOU,Arrows Ford,1:47.586
11,33,Roberto GuerreroGUE,Theodore Ford,1:47.701
12,1,Keke RosbergROS,Williams Ford,1:47.728
13,15,Alain ProstPRO,Renault,1:47.855
14,12,Nigel MansellMAN,Lotus Ford,1:48.395
15,6,Riccardo PatresePAT,Brabham BMW,1:48.537
16,4,Danny SullivanSUL,Tyrrell Ford,1:48.648
17,36,Bruno GiacomelliGIA,Toleman Hart,1:48.785
18,8,Niki LaudaLAU,McLaren Ford,1:48.992
19,25,Jean-Pierre JarierJAR,Ligier Ford,1:48.994
20,2,Jacques LaffiteLAF,Williams Ford,1:49.245
21,7,John WatsonWAT,McLaren Ford,1:49.250
22,9,Manfred WinkelhockWIN,ATS BMW,1:49.466
23,26,Raul BoeselBOE,Ligier Ford,1:49.540
24,32,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:49.885
25,23,Mauro BaldiBAL,Alfa Romeo,1:49.916
26,34,Johnny CecottoCEC,Theodore Ford,1:51.709
NC,31,Corrado FabiFAB,Osella Ford,1:53.516
