Pos,No,Driver,Car,Time
1,27,Ayrton SennaSEN,McLaren Honda,1:36.996
2,1,Alain ProstPRO,Ferrari,1:37.228
3,2,Nigel MansellMAN,Ferrari,1:37.719
4,28,Gerhard BergerBER,McLaren Honda,1:38.118
5,5,Thierry BoutsenBOU,Williams Renault,1:39.324
6,20,Nelson PiquetPIQ,Benetton Ford,1:40.049
7,4,Jean AlesiALE,Tyrrell Ford,1:40.052
8,6,Riccardo PatresePAT,Williams Renault,1:40.355
9,19,Roberto MorenoMOR,Benetton Ford,1:40.579
10,30,Aguri SuzukiSUZ,Lola Lamborghini,1:40.888
11,23,Pierluigi MartiniMAR,Minardi Ford,1:40.899
12,11,Derek WarwickWAR,Lotus Lamborghini,1:41.024
13,16,Ivan CapelliCAP,Leyton House Judd,1:41.033
14,3,Satoru NakajimaNAK,Tyrrell Ford,1:41.078
15,12,Johnny HerbertHER,Lotus Lamborghini,1:41.558
16,15,Mauricio GugelminGUG,Leyton House Judd,1:41.698
17,29,Eric BernardBER,Lola Lamborghini,1:41.709
18,25,Nicola LariniLAR,Ligier Ford,1:42.339
19,21,Emanuele PirroPIR,Dallara Ford,1:42.361
20,24,Gianni MorbidelliMOR,Minardi Ford,1:42.364
21,26,Philippe AlliotALL,Ligier Ford,1:42.593
22,8,Stefano ModenaMOD,Brabham Judd,1:42.617
23,7,David BrabhamBRA,Brabham Judd,1:43.156
24,10,Alex CaffiCAF,Arrows Ford,1:43.270
25,9,Michele AlboretoALB,Arrows Ford,1:43.304
26,22,Andrea de CesarisDEC,Dallara Ford,1:43.601
27,14,Olivier GrouillardGRO,Osella Ford,1:43.782
28,17,Gabriele TarquiniTAR,AGS Ford,1:44.281
29,18,Yannick DalmasDAL,AGS Ford,1:44.410
30,31,Bertrand GachotGAC,Coloni Ford,1:45.393
