Pos,No,Driver,Car,Time
1,14,Olivier GrouillardGRO,Osella Ford,1:57.941
1,27,Ayrton SennaSEN,McLaren Honda,1:50.365
2,28,Gerhard BergerBER,McLaren Honda,1:50.948
2,18,Yannick DalmasDAL,AGS Ford,1:58.339
3,1,Alain ProstPRO,Ferrari,1:51.043
3,31,Bertrand GachotGAC,Coloni Ford,1:59.130
4,17,Gabriele TarquiniTAR,AGS Ford,1:59.910
4,5,Thierry BoutsenBOU,Williams Renault,1:51.902
5,2,Nigel MansellMAN,Ferrari,1:52.267
5,33,Roberto MorenoMOR,Euro Brun Judd,2:00.270
6,19,Alessandro NanniniNAN,Benetton Ford,1:52.648
6,34,Claudio LangesLAN,Euro Brun Judd,2:01.405
7,39,Bruno GiacomelliGIA,Life,2:19.445
7,6,Riccardo PatresePAT,Williams Renault,1:52.703
8,20,Nelson PiquetPIQ,Benetton Ford,1:52.853
9,4,Jean AlesiALE,Tyrrell Ford,1:52.885
10,3,Satoru NakajimaNAK,Tyrrell Ford,1:53.468
11,30,Aguri SuzukiSUZ,Lola Lamborghini,1:53.523
12,16,Ivan CapelliCAP,Leyton House Judd,1:53.783
13,8,Stefano ModenaMOD,Brabham Judd,1:53.916
14,15,Mauricio GugelminGUG,Leyton House Judd,1:54.120
15,29,Eric BernardBER,Lola Lamborghini,1:54.251
16,23,Pierluigi MartiniMAR,Minardi Ford,1:54.312
17,21,Emanuele PirroPIR,Dallara Ford,1:54.595
18,11,Derek WarwickWAR,Lotus Lamborghini,1:55.068
19,10,Alex CaffiCAF,Arrows Ford,1:55.199
20,22,Andrea de CesarisDEC,Dallara Ford,1:55.261
21,25,Nicola LariniLAR,Ligier Ford,1:55.278
22,12,Martin DonnellyDON,Lotus Lamborghini,1:55.304
24,7,David BrabhamBRA,Brabham Judd,1:55.668
25,24,Paolo BarillaBAR,Minardi Ford,1:55.859
26,9,Michele AlboretoALB,Arrows Ford,1:56.055
27,26,Philippe AlliotALL,Ligier Ford,1:56.118
