Pos,No,Driver,Car,Time
1,14,Olivier GrouillardGRO,Osella Ford,1:26.947
1,27,Ayrton SennaSEN,McLaren Honda,1:22.533
2,1,Alain ProstPRO,Ferrari,1:22.935
2,31,Bertrand GachotGAC,Coloni Ford,1:27.594
3,17,Gabriele TarquiniTAR,AGS Ford,1:27.773
3,28,Gerhard BergerBER,McLaren Honda,1:22.936
4,2,Nigel MansellMAN,Ferrari,1:23.141
4,18,Yannick DalmasDAL,AGS Ford,1:28.132
5,33,Roberto MorenoMOR,Euro Brun Judd,1:28.703
5,4,Jean AlesiALE,Tyrrell Ford,1:23.526
6,5,Thierry BoutsenBOU,Williams Renault,1:23.984
6,34,Claudio LangesLAN,Euro Brun Judd,1:35.061
7,39,Bruno GiacomelliGIA,Life,1:55.244
7,6,Riccardo PatresePAT,Williams Renault,1:24.253
8,19,Alessandro NanniniNAN,Benetton Ford,1:24.583
9,20,Nelson PiquetPIQ,Benetton Ford,1:24.699
10,15,Mauricio GugelminGUG,Leyton House Judd,1:25.556
11,12,Martin DonnellyDON,Lotus Lamborghini,1:25.629
12,11,Derek WarwickWAR,Lotus Lamborghini,1:25.677
13,29,Eric BernardBER,Lola Lamborghini,1:25.927
14,3,Satoru NakajimaNAK,Tyrrell Ford,1:26.081
15,23,Pierluigi MartiniMAR,Minardi Ford,1:26.330
16,16,Ivan CapelliCAP,Leyton House Judd,1:26.712
17,8,Stefano ModenaMOD,Brabham Judd,1:26.950
18,30,Aguri SuzukiSUZ,Lola Lamborghini,1:26.962
19,21,Emanuele PirroPIR,Dallara Ford,1:26.964
20,26,Philippe AlliotALL,Ligier Ford,1:27.043
21,10,Alex CaffiCAF,Arrows Ford,1:27.410
22,9,Michele AlboretoALB,Arrows Ford,1:27.448
25,22,Andrea de CesarisDEC,Dallara Ford,1:27.749
26,25,Nicola LariniLAR,Ligier Ford,1:27.937
28,24,Paolo BarillaBAR,Minardi Ford,1:28.258
29,7,David BrabhamBRA,Brabham Judd,1:28.382
