Pos,No,Driver,Car,Time
1,33,Roberto MorenoMOR,Euro Brun Judd,1:32.292
1,28,Gerhard BergerBER,McLaren Honda,1:28.664
2,23,Pierluigi MartiniMAR,Minardi Ford,1:28.731
2,29,Eric BernardBER,Lola Lamborghini,1:32.711
3,14,Olivier GrouillardGRO,Osella Ford,1:33.181
3,22,Andrea de CesarisDEC,Dallara Ford,1:29.019
4,4,Jean AlesiALE,Tyrrell Ford,1:29.408
4,30,Aguri SuzukiSUZ,Lola Lamborghini,1:33.331
5,27,Ayrton SennaSEN,McLaren Honda,1:29.431
5,17,Gabriele TarquiniTAR,AGS Ford,1:35.420
6,20,Nelson PiquetPIQ,Benetton Ford,1:29.862
6,18,Yannick DalmasDAL,AGS Ford,1:35.481
7,34,Claudio LangesLAN,Euro Brun Judd,1:37.399
7,1,Alain ProstPRO,Ferrari,1:29.910
8,39,Gary BrabhamBRA,Life,2:07.147
9,5,Thierry BoutsenBOU,Williams Renault,1:30.059
9,31,Bertrand GachotGAC,Coloni Subaru,5:15.010
10,8,Stefano ModenaMOD,Brabham Judd,1:30.127
11,3,Satoru NakajimaNAK,Tyrrell Ford,1:30.130
12,6,Riccardo PatresePAT,Williams Renault,1:30.213
13,25,Nicola LariniLAR,Ligier Ford,1:30.424
14,24,Paolo BarillaBAR,Minardi Ford,1:31.194
17,2,Nigel MansellMAN,Ferrari,1:31.363
19,12,Martin DonnellyDON,Lotus Lamborghini,1:31.650
20,10,Bernd SchneiderSCH,Arrows Ford,1:31.892
21,9,Michele AlboretoALB,Arrows Ford,1:31.948
22,19,Alessandro NanniniNAN,Benetton Ford,1:31.984
23,7,Gregor FoitekFOI,Brabham Judd,1:32.398
24,11,Derek WarwickWAR,Lotus Lamborghini,1:32.400
25,15,Mauricio GugelminGUG,Leyton House Judd,1:32.904
26,16,Ivan CapelliCAP,Leyton House Judd,1:33.044
27,35,Stefan JohanssonJOH,Onyx Ford,1:33.468
28,21,Gianni MorbidelliMOR,Dallara Ford,1:34.292
