Pos,No,Driver,Car,Time
1,2,Nigel MansellMAN,Ferrari,1:04.402
1,29,Eric BernardBER,Lola Lamborghini,1:05.165
2,28,Gerhard BergerBER,McLaren Honda,1:04.512
2,30,Aguri SuzukiSUZ,Lola Lamborghini,1:06.505
3,27,Ayrton SennaSEN,McLaren Honda,1:04.549
3,17,Gabriele TarquiniTAR,AGS Ford,1:07.232
4,1,Alain ProstPRO,Ferrari,1:04.781
4,18,Yannick DalmasDAL,AGS Ford,1:08.151
5,19,Alessandro NanniniNAN,Benetton Ford,1:05.009
5,14,Olivier GrouillardGRO,Osella Ford,1:08.219
6,33,Roberto MorenoMOR,Euro Brun Judd,1:09.885
6,6,Riccardo PatresePAT,Williams Renault,1:05.059
7,16,Ivan CapelliCAP,Leyton House Judd,1:05.369
7,34,Claudio LangesLAN,Euro Brun Judd,1:10.368
8,31,Bertrand GachotGAC,Coloni Subaru,14:02.465
8,5,Thierry BoutsenBOU,Williams Renault,1:05.446
9,20,Nelson PiquetPIQ,Benetton Ford,1:05.640
10,15,Mauricio GugelminGUG,Leyton House Judd,1:05.818
12,26,Philippe AlliotALL,Ligier Ford,1:05.986
13,4,Jean AlesiALE,Tyrrell Ford,1:06.084
15,3,Satoru NakajimaNAK,Tyrrell Ford,1:06.563
16,11,Derek WarwickWAR,Lotus Lamborghini,1:06.624
17,12,Martin DonnellyDON,Lotus Lamborghini,1:06.647
18,9,Michele AlboretoALB,Arrows Ford,1:06.847
19,25,Nicola LariniLAR,Ligier Ford,1:06.856
20,8,Stefano ModenaMOD,Brabham Judd,1:06.937
21,22,Andrea de CesarisDEC,Dallara Ford,1:07.137
22,10,Alex CaffiCAF,Arrows Ford,1:07.207
23,23,Pierluigi MartiniMAR,Minardi Ford,1:07.315
24,21,Emanuele PirroPIR,Dallara Ford,1:07.687
25,7,David BrabhamBRA,Brabham Judd,1:07.733
27,24,Paolo BarillaBAR,Minardi Ford,1:08.008
29,35,Gregor FoitekFOI,Onyx Ford,1:08.232
30,36,Jyrki JarvilehtoJAR,Onyx Ford,1:08.487
