POS.,NO.,DRIVER,TEAM,TIME
1,44,Lewis HamiltonHAM,Ferrari,1:30.849
2,1,Max VerstappenVER,Red Bull Racing,1:30.867
3,81,Oscar PiastriPIA,McLaren,1:30.929
4,16,Charles LeclercLEC,Ferrari,1:31.057
5,63,George RussellRUS,Mercedes,1:31.169
6,4,Lando NorrisNOR,McLaren,1:31.393
7,12,Kimi AntonelliANT,Mercedes,1:31.738
8,22,Yuki TsunodaTSU,Racing Bulls,1:31.773
9,23,Alexander AlbonALB,Williams,1:31.852
10,18,Lance StrollSTR,Aston Martin,1:31.982
11,14,Fernando AlonsoALO,Aston Martin,1:31.815
12,87,Oliver BearmanBEA,Haas,1:31.978
13,55,Carlos SainzSAI,Williams,1:32.325
14,5,Gabriel BortoletoBOR,Kick Sauber,1:32.564
15,6,Isack HadjarHAD,Racing Bulls,
16,7,Jack DoohanDOO,Alpine,1:32.575
17,10,Pierre GaslyGAS,Alpine,1:32.640
18,31,Esteban OconOCO,Haas,1:32.651
19,30,Liam LawsonLAW,Red Bull Racing,1:32.729
20,27,Nico HulkenbergHUL,Kick Sauber,1:32.675
