POS.,NO.,DRIVER,TEAM,TIME
1,12,Kimi AntonelliANT,Mercedes,1:26.482
2,81,Oscar PiastriPIA,McLaren,1:26.527
3,4,Lando NorrisNOR,McLaren,1:26.582
4,1,Max VerstappenVER,Red Bull Racing,1:26.737
5,63,George RussellRUS,Mercedes,1:26.791
6,16,Charles LeclercLEC,Ferrari,1:26.808
7,44,Lewis HamiltonHAM,Ferrari,1:27.030
8,23,Alexander AlbonALB,Williams,1:27.193
9,6,Isack HadjarHAD,Racing Bulls,1:27.543
10,14,Fernando AlonsoALO,Aston Martin,1:27.790
11,27,Nico HulkenbergHUL,Kick Sauber,1:27.850
12,31,Esteban OconOCO,Haas,1:28.070
13,10,Pierre GaslyGAS,Alpine,1:28.167
14,30,Liam LawsonLAW,Racing Bulls,1:28.375
15,55,Carlos SainzSAI,Williams,
16,18,Lance StrollSTR,Aston Martin,1:29.028
17,7,Jack DoohanDOO,Alpine,1:29.171
18,5,Gabriel BortoletoBOR,Kick Sauber,1:29.312
19,87,Oliver BearmanBEA,Haas,1:29.825
20,22,Yuki TsunodaTSU,Red Bull Racing,1:29.246
