Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,33,Max VerstappenVER,Red Bull Racing Honda,1:04.489,1:04.433,1:03.841,20
2,77,Valtteri BottasBOT,Mercedes,1:04.537,1:04.443,1:04.035,23
3,44,Lewis HamiltonHAM,Mercedes,1:04.672,1:04.512,1:04.067,25
4,4,Lando NorrisNOR,McLaren Mercedes,1:04.584,1:04.298,1:04.120,17
5,11,Sergio PerezPER,Red Bull Racing Honda,1:04.638,1:04.197,1:04.168,21
6,10,Pierre GaslyGAS,AlphaTauri Honda,1:04.765,1:04.429,1:04.236,18
7,16,Charles LeclercLEC,Ferrari,1:04.745,1:04.646,1:04.472,21
8,22,Yuki TsunodaTSU,AlphaTauri Honda,1:04.608,1:04.631,1:04.514,21
9,14,Fernando AlonsoALO,Alpine Renault,1:04.971,1:04.582,1:04.574,18
10,18,Lance StrollSTR,Aston Martin Mercedes,1:04.821,1:04.663,1:04.708,18
11,63,George RussellRUS,Williams Mercedes,1:05.033,1:04.671,,14
12,55,Carlos SainzSAI,Ferrari,1:04.859,1:04.800,,15
13,3,Daniel RicciardoRIC,McLaren Mercedes,1:05.142,1:04.808,,14
14,5,Sebastian VettelVET,Aston Martin Mercedes,1:05.051,1:04.875,,15
15,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:05.092,1:04.913,,17
16,6,Nicholas LatifiLAT,Williams Mercedes,1:05.175,,,9
17,31,Esteban OconOCO,Alpine Renault,1:05.217,,,6
18,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:05.429,,,8
19,47,Mick SchumacherMSC,Haas Ferrari,1:06.041,,,8
20,9,Nikita MazepinMAZ,Haas Ferrari,1:06.192,,,9
