Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,33,Max VerstappenVER,Red Bull Racing Honda,1:31.001,1:31.080,1:29.990,16
2,44,Lewis HamiltonHAM,Mercedes,1:31.237,1:30.788,1:30.248,20
3,77,Valtteri BottasBOT,Mercedes,1:31.669,1:30.735,1:30.376,16
4,11,Sergio PerezPER,Red Bull Racing Honda,1:31.560,1:30.971,1:30.445,16
5,55,Carlos SainzSAI,Ferrari,1:32.079,1:31.146,1:30.840,19
6,10,Pierre GaslyGAS,AlphaTauri Honda,1:31.898,1:31.353,1:30.868,22
7,16,Charles LeclercLEC,Ferrari,1:32.209,1:31.567,1:30.987,20
8,4,Lando NorrisNOR,McLaren Mercedes,1:31.733,1:31.542,1:31.252,18
9,14,Fernando AlonsoALO,Alpine Renault,1:32.158,1:31.549,1:31.340,17
10,3,Daniel RicciardoRIC,McLaren Mercedes,1:32.181,1:31.615,1:31.382,21
11,31,Esteban OconOCO,Alpine Renault,1:32.139,1:31.736,,10
12,5,Sebastian VettelVET,Aston Martin Mercedes,1:32.132,1:31.767,,12
13,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:32.722,1:31.813,,13
14,63,George RussellRUS,Williams Mercedes,1:33.060,1:32.065,,13
15,47,Mick SchumacherMSC,Haas Ferrari,1:32.942,,,7
16,6,Nicholas LatifiLAT,Williams Mercedes,1:33.062,,,7
17,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:33.354,,,7
18,9,Nikita MazepinMAZ,Haas Ferrari,1:33.554,,,7
NC,18,Lance StrollSTR,Aston Martin Mercedes,2:12.584,,,7
RT,22,Yuki TsunodaTSU,AlphaTauri Honda,DNF,,,2
