Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,77,Valtteri BottasBOT,Mercedes,1:18.722,1:18.458,1:18.348,23
2,44,Lewis HamiltonHAM,Mercedes,1:18.857,1:17.968,1:18.355,24
3,33,Max VerstappenVER,Red Bull Racing Honda,1:19.485,1:18.650,1:18.746,20
4,11,Sergio PerezPER,Red Bull Racing Honda,1:19.337,1:18.845,1:18.890,22
5,55,Carlos SainzSAI,Ferrari,1:19.309,1:18.813,1:19.039,23
6,31,Esteban OconOCO,Alpine Renault,1:19.092,1:18.586,1:19.042,17
7,4,Lando NorrisNOR,McLaren Mercedes,1:18.794,1:18.481,1:19.116,24
8,16,Charles LeclercLEC,Ferrari,1:19.373,1:18.769,1:19.306,29
9,10,Pierre GaslyGAS,AlphaTauri Honda,1:19.464,1:19.052,1:19.475,26
10,5,Sebastian VettelVET,Aston Martin Mercedes,1:19.403,1:18.970,1:19.659,22
11,63,George RussellRUS,Williams Mercedes,1:19.797,1:19.109,,15
12,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:19.410,1:19.216,,19
13,14,Fernando AlonsoALO,Alpine Renault,1:19.728,1:19.456,,12
14,22,Yuki TsunodaTSU,AlphaTauri Honda,1:19.684,1:19.463,,17
15,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:19.748,1:19.812,,19
16,3,Daniel RicciardoRIC,McLaren Mercedes,1:19.839,,,11
17,18,Lance StrollSTR,Aston Martin Mercedes,1:19.913,,,10
18,6,Nicholas LatifiLAT,Williams Mercedes,1:20.285,,,9
19,47,Mick SchumacherMSC,Haas Ferrari,1:20.452,,,11
20,9,Nikita MazepinMAZ,Haas Ferrari,1:20.912,,,11
