Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,4,Lando NorrisNOR,McLaren Mercedes,1:47.238,1:45.827,1:41.993,23
2,55,Carlos SainzSAI,Ferrari,1:47.924,1:46.521,1:42.510,25
3,63,George RussellRUS,Williams Mercedes,1:48.303,1:46.435,1:42.983,26
4,44,Lewis HamiltonHAM,Mercedes,1:45.992,1:45.129,1:44.050,24
5,3,Daniel RicciardoRIC,McLaren Mercedes,1:48.345,1:46.361,1:44.156,23
6,14,Fernando AlonsoALO,Alpine Renault,1:47.877,1:45.514,1:44.204,25
7,77,Valtteri BottasBOT,Mercedes,1:46.396,1:45.306,1:44.710,24
8,18,Lance StrollSTR,Aston Martin Mercedes,1:48.322,1:46.360,1:44.956,23
9,11,Sergio PerezPER,Red Bull Racing Honda,1:46.455,1:45.834,1:45.337,24
10,31,Esteban OconOCO,Alpine Renault,1:48.099,1:46.070,1:45.865,25
11,5,Sebastian VettelVET,Aston Martin Mercedes,1:47.205,1:46.573,,18
12,10,Pierre GaslyGAS,AlphaTauri Honda,1:47.828,1:46.641,,18
13,22,Yuki TsunodaTSU,AlphaTauri Honda,1:48.854,1:46.751,,20
14,6,Nicholas LatifiLAT,Williams Mercedes,1:48.252,DNS,,12
15,16,Charles LeclercLEC,Ferrari,1:48.470,,,10
16,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:49.586,,,10
17,47,Mick SchumacherMSC,Haas Ferrari,1:49.830,,,10
18,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:51.023,,,9
19,9,Nikita MazepinMAZ,Haas Ferrari,1:53.764,,,10
20,33,Max VerstappenVER,Red Bull Racing Honda,DNF,,,2
