Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:24.585,1:23.082,1:22.868,28
2,77,Valtteri BottasBOT,Mercedes,1:25.047,1:23.579,1:22.998,27
3,33,Max VerstappenVER,Red Bull Racing Honda,1:24.592,1:23.732,1:23.196,25
4,16,Charles LeclercLEC,Ferrari,1:24.869,1:24.015,1:23.265,30
5,10,Pierre GaslyGAS,AlphaTauri Honda,1:24.704,1:23.817,1:23.326,24
6,14,Fernando AlonsoALO,Alpine Renault,1:25.174,1:23.914,1:23.477,24
7,11,Sergio PerezPER,Red Bull Racing Honda,1:24.963,1:23.961,1:23.706,24
8,4,Lando NorrisNOR,McLaren Mercedes,1:25.138,1:24.642,1:23.954,25
9,18,Lance StrollSTR,Aston Martin Mercedes,1:25.511,1:24.601,1:24.305,23
10,22,Yuki TsunodaTSU,AlphaTauri Honda,1:25.409,1:24.054,1:24.368,24
11,5,Sebastian VettelVET,Aston Martin Mercedes,1:25.787,1:24.795,,19
12,31,Esteban OconOCO,Alpine Renault,1:25.422,1:24.842,,18
13,63,George RussellRUS,Williams Mercedes,1:25.417,1:25.007,,20
14,47,Mick SchumacherMSC,Haas Ferrari,1:25.555,1:25.200,,19
15,55,Carlos SainzSAI,Ferrari,1:25.177,DNS,,13
16,3,Daniel RicciardoRIC,McLaren Mercedes,1:25.881,,,10
17,6,Nicholas LatifiLAT,Williams Mercedes,1:26.086,,,10
18,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:26.430,,,11
19,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:27.525,,,11
20,9,Nikita MazepinMAZ,Haas Ferrari,1:28.449,,,10
