Pos,No,Driver,Car,Laps,Time/retired,Pts
1,5,Michael SchumacherMSC,Ferrari,62,1:31:06.486,10
2,1,Fernando AlonsoALO,Renault,62,+2.096s,8
3,4,Juan Pablo MontoyaMOY,McLaren Mercedes,62,+15.868s,6
4,6,Felipe MassaMAS,Ferrari,62,+17.096s,5
5,3,Kimi RäikkönenRAI,McLaren Mercedes,62,+17.524s,4
6,9,Mark WebberWEB,Williams Cosworth,62,+37.739s,3
7,12,Jenson ButtonBUT,Honda,62,+39.635s,2
8,2,Giancarlo FisichellaFIS,Renault,62,+40.200s,1
9,7,Ralf SchumacherRSC,Toyota,62,+45.511s,0
10,11,Rubens BarrichelloBAR,Honda,62,+77.851s,0
11,10,Nico RosbergROS,Williams Cosworth,62,+79.675s,0
12,17,Jacques VilleneuveVIL,Sauber BMW,62,+82.370s,0
13,16,Nick HeidfeldHEI,Sauber BMW,61,+1 lap,0
14,20,Vitantonio LiuzziLIU,STR Cosworth,61,+1 lap,0
15,21,Scott SpeedSPE,STR Cosworth,61,+1 lap,0
16,18,Tiago MonteiroMON,MF1 Toyota,60,+2 laps,0
NC,14,David CoulthardCOU,RBR Ferrari,47,DNF,0
NC,22,Takuma SatoSAT,Super Aguri Honda,44,DNF,0
NC,15,Christian KlienKLI,RBR Ferrari,40,DNF,0
NC,23,Yuji IdeIDE,Super Aguri Honda,23,DNF,0
NC,8,Jarno TrulliTRU,Toyota,5,DNF,0
NC,19,Christijan AlbersALB,MF1 Toyota,0,DNF,0
