Pos,No,Driver,Car,Laps,Time/retired,Pts
1,5,Michael SchumacherMSC,Ferrari,73,1:34:35.199,10
2,6,Felipe MassaMAS,Ferrari,73,+7.984s,8
3,2,Giancarlo FisichellaFIS,Renault,73,+16.595s,6
4,8,Jarno TrulliTRU,Toyota,73,+23.604s,5
5,1,Fernando AlonsoALO,Renault,73,+28.410s,4
6,11,Rubens BarrichelloBAR,Honda,73,+36.516s,3
7,14,David CoulthardCOU,RBR Ferrari,72,+1 lap,2
8,20,Vitantonio LiuzziLIU,STR Cosworth,72,+1 lap,1
9,10,Nico RosbergROS,Williams Cosworth,72,+1 lap,0
NC,7,Ralf SchumacherRSC,Toyota,62,DNF,0
NC,19,Christijan AlbersALB,MF1 Toyota,37,DNF,0
NC,17,Jacques VilleneuveVIL,Sauber BMW,23,DNF,0
NC,18,Tiago MonteiroMON,MF1 Toyota,9,DNF,0
NC,22,Takuma SatoSAT,Super Aguri Honda,6,DNF,0
NC,12,Jenson ButtonBUT,Honda,3,DNF,0
NC,3,Kimi RäikkönenRAI,McLaren Mercedes,0,DNF,0
NC,16,Nick HeidfeldHEI,Sauber BMW,0,DNF,0
NC,4,Juan Pablo MontoyaMOY,McLaren Mercedes,0,DNF,0
NC,9,Mark WebberWEB,Williams Cosworth,0,DNF,0
NC,21,Scott SpeedSPE,STR Cosworth,0,DNF,0
NC,15,Christian KlienKLI,RBR Ferrari,0,DNF,0
NC,23,Franck MontagnyMON,Super Aguri Honda,0,DNF,0
