Pos,No,Driver,Car,Laps,Time/retired,Pts
1,6,Felipe MassaMAS,Ferrari,58,1:28:51.082,10
2,1,Fernando AlonsoALO,Renault,58,+5.575s,8
3,5,Michael SchumacherMSC,Ferrari,58,+5.656s,6
4,12,Jenson ButtonBUT,Honda,58,+12.334s,5
5,4,Pedro de la RosaDLR,McLaren Mercedes,58,+45.908s,4
6,2,Giancarlo FisichellaFIS,Renault,58,+46.594s,3
7,7,Ralf SchumacherRSC,Toyota,58,+59.337s,2
8,11,Rubens BarrichelloBAR,Honda,58,+60.034s,1
9,8,Jarno TrulliTRU,Toyota,57,+1 lap,0
10,9,Mark WebberWEB,Williams Cosworth,57,+1 lap,0
11,15,Christian KlienKLI,RBR Ferrari,57,+1 lap,0
12,17,Robert KubicaKUB,Sauber BMW,57,+1 lap,0
13,21,Scott SpeedSPE,STR Cosworth,57,+1 lap,0
14,16,Nick HeidfeldHEI,Sauber BMW,56,+2 laps,0
15,14,David CoulthardCOU,RBR Ferrari,55,+3 laps,0
NC,19,Christijan AlbersALB,MF1 Toyota,46,DNF,0
NC,22,Takuma SatoSAT,Super Aguri Honda,41,+17 laps,0
NC,10,Nico RosbergROS,Williams Cosworth,25,DNF,0
NC,23,Sakon YamamotoYAM,Super Aguri Honda,23,DNF,0
NC,20,Vitantonio LiuzziLIU,STR Cosworth,12,DNF,0
NC,3,Kimi RäikkönenRAI,McLaren Mercedes,1,DNF,0
NC,18,Tiago MonteiroMON,MF1 Toyota,0,DNF,0
