Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:38.516,1:37.065,1:36.338,12
2,2,Mark WebberWEB,Red Bull Racing Renault,1:38.161,1:37.312,1:36.441,14
3,8,Romain GrosjeanGRO,Lotus Renault,1:38.676,1:37.523,1:37.155,17
4,11,Nico HulkenbergHUL,Sauber Ferrari,1:38.339,1:37.828,1:37.296,20
5,10,Lewis HamiltonHAM,Mercedes,1:37.959,1:37.854,1:37.345,20
6,3,Fernando AlonsoALO,Ferrari,1:38.929,1:37.368,1:37.376,19
7,6,Sergio PerezPER,McLaren Mercedes,1:38.367,1:38.040,1:37.452,21
8,7,Heikki KovalainenKOV,Lotus Renault,1:38.375,1:38.078,1:37.715,21
9,17,Valtteri BottasBOT,Williams Renault,1:37.821,1:37.439,1:37.836,24
10,12,Esteban Gutierrez GUT,Sauber Ferrari,1:38.082,1:38.031,1:38.034,20
11,19,Daniel RicciardoRIC,STR Ferrari,1:38.882,1:38.131,,18
12,14,Paul di RestaDIR,Force India Mercedes,1:38.894,1:38.139,,18
13,5,Jenson ButtonBUT,McLaren Mercedes,1:38.588,1:38.217,,16
14,9,Nico RosbergROS,Mercedes,1:38.743,1:38.364,,19
15,4,Felipe MassaMAS,Ferrari,1:39.094,1:38.592,,17
16,18,Jean-Eric VergneVER,STR Ferrari,1:38.880,1:38.696,,15
17,15,Adrian SutilSUT,Force India Mercedes,1:39.250,,,10
18,16,Pastor MaldonadoMAL,Williams Renault,1:39.351,,,11
19,21,Giedo van der GardeVDG,Caterham Renault,1:40.491,,,10
20,22,Jules BianchiBIA,Marussia Cosworth,1:40.528,,,11
21,20,Charles PicPIC,Caterham Renault,1:40.596,,,10
22,23,Max ChiltonCHI,Marussia Cosworth,1:41.401,,,10
