Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,9,Nico RosbergROS,Mercedes,1:33.364,1:32.867,1:32.330,14
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:33.327,1:32.746,1:32.584,12
3,3,Fernando AlonsoALO,Ferrari,1:32.878,1:33.316,1:32.667,11
4,10,Lewis HamiltonHAM,Mercedes,1:33.498,1:33.346,1:32.762,13
5,2,Mark WebberWEB,Red Bull Racing Renault,1:33.966,1:33.098,1:33.078,13
6,4,Felipe MassaMAS,Ferrari,1:33.780,1:33.358,1:33.207,13
7,14,Paul di RestaDIR,Force India Mercedes,1:33.762,1:33.335,1:33.235,14
8,15,Adrian SutilSUT,Force India Mercedes,1:34.048,1:33.378,1:33.246,16
9,7,Kimi RäikkönenRAI,Lotus Renault,1:33.827,1:33.146,1:33.327,13
10,5,Jenson ButtonBUT,McLaren Mercedes,1:34.071,1:33.702,DNF,11
11,8,Romain GrosjeanGRO,Lotus Renault,1:33.498,1:33.762,,7
12,6,Sergio PerezPER,McLaren Mercedes,1:34.310,1:33.914,,9
13,19,Daniel RicciardoRIC,STR Ferrari,1:34.120,1:33.974,,14
14,11,Nico HulkenbergHUL,Sauber Ferrari,1:34.409,1:33.976,,14
15,17,Valtteri BottasBOT,Williams Renault,1:34.425,1:34.105,,13
16,18,Jean-Eric VergneVER,STR Ferrari,1:34.314,1:34.284,,13
17,16,Pastor MaldonadoMAL,Williams Renault,1:34.425,,,6
18,12,Esteban Gutierrez GUT,Sauber Ferrari,1:34.730,,,9
19,20,Charles PicPIC,Caterham Renault,1:35.283,,,6
20,22,Jules BianchiBIA,Marussia Cosworth,1:36.178,,,6
21,21,Giedo van der GardeVDG,Caterham Renault,1:36.304,,,7
22,23,Max ChiltonCHI,Marussia Cosworth,1:36.476,,,6
