Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,2,Mark WebberWEB,Red Bull Racing Renault,1:41.568,1:40.575,1:39.957,17
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:41.683,1:40.781,1:40.075,12
3,9,Nico RosbergROS,Mercedes,1:41.420,1:40.473,1:40.419,18
4,10,Lewis HamiltonHAM,Mercedes,1:40.693,1:40.477,1:40.501,19
RT,7,Kimi RäikkönenRAI,Lotus Renault,1:41.276,1:40.971,1:40.542,20
5,11,Nico HulkenbergHUL,Sauber Ferrari,1:41.631,1:40.931,1:40.576,21
6,8,Romain GrosjeanGRO,Lotus Renault,1:41.447,1:40.948,1:40.997,21
7,4,Felipe MassaMAS,Ferrari,1:41.254,1:40.989,1:41.015,18
8,6,Sergio PerezPER,McLaren Mercedes,1:41.687,1:40.812,1:41.068,20
9,19,Daniel RicciardoRIC,STR Ferrari,1:41.884,1:40.852,1:41.111,21
10,3,Fernando AlonsoALO,Ferrari,1:41.397,1:41.093,,15
11,14,Paul di RestaDIR,Force India Mercedes,1:41.676,1:41.133,,19
12,5,Jenson ButtonBUT,McLaren Mercedes,1:41.817,1:41.200,,15
13,18,Jean-Eric VergneVER,STR Ferrari,1:41.692,1:41.279,,15
14,16,Pastor MaldonadoMAL,Williams Renault,1:41.365,1:41.395,,16
15,17,Valtteri BottasBOT,Williams Renault,1:41.862,1:41.447,,14
16,12,Esteban Gutierrez GUT,Sauber Ferrari,1:41.999,,,8
17,15,Adrian SutilSUT,Force India Mercedes,1:42.051,,,10
18,21,Giedo van der GardeVDG,Caterham Renault,1:43.252,,,10
19,22,Jules BianchiBIA,Marussia Cosworth,1:43.398,,,7
20,20,Charles PicPIC,Caterham Renault,1:43.528,,,10
21,23,Max ChiltonCHI,Marussia Cosworth,1:44.198,,,8
