Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:38.683,1:37.569,1:37.202,13
2,10,Lewis HamiltonHAM,Mercedes,1:38.574,1:37.824,1:37.420,16
3,2,Mark WebberWEB,Red Bull Racing Renault,1:39.138,1:37.840,1:37.464,13
4,8,Romain GrosjeanGRO,Lotus Renault,1:39.065,1:38.076,1:37.531,14
5,9,Nico RosbergROS,Mercedes,1:38.418,1:38.031,1:37.679,16
6,3,Fernando AlonsoALO,Ferrari,1:38.520,1:37.978,1:38.038,17
7,4,Felipe MassaMAS,Ferrari,1:38.884,1:38.295,1:38.223,16
8,11,Nico HulkenbergHUL,Sauber Ferrari,1:38.427,1:37.913,1:38.237,17
9,12,Esteban Gutierrez GUT,Sauber Ferrari,1:38.725,1:38.327,1:38.405,15
10,7,Kimi RäikkönenRAI,Lotus Renault,1:38.341,1:38.181,1:38.822,17
11,6,Sergio PerezPER,McLaren Mercedes,1:39.049,1:38.362,,14
12,5,Jenson ButtonBUT,McLaren Mercedes,1:38.882,1:38.365,,14
13,19,Daniel RicciardoRIC,STR Ferrari,1:38.525,1:38.417,,14
14,15,Adrian SutilSUT,Force India Mercedes,1:38.988,1:38.431,,15
15,14,Paul di RestaDIR,Force India Mercedes,1:39.185,1:38.718,,15
16,18,Jean-Eric VergneVER,STR Ferrari,1:39.075,1:38.781,,13
17,17,Valtteri BottasBOT,Williams Renault,1:39.470,,,8
18,16,Pastor MaldonadoMAL,Williams Renault,1:39.987,,,8
19,20,Charles PicPIC,Caterham Renault,1:40.864,,,6
20,21,Giedo van der GardeVDG,Caterham Renault,1:40.871,,,6
21,22,Jules BianchiBIA,Marussia Cosworth,1:41.169,,,6
22,23,Max ChiltonCHI,Marussia Cosworth,1:41.322,,,6
