Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,10,Lewis HamiltonHAM,Mercedes,1:20.363,1:19.862,1:19.388,15
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:20.646,1:19.992,1:19.426,12
3,8,Romain GrosjeanGRO,Lotus Renault,1:20.447,1:20.101,1:19.595,15
4,9,Nico RosbergROS,Mercedes,1:20.350,1:19.778,1:19.720,16
5,3,Fernando AlonsoALO,Ferrari,1:20.652,1:20.183,1:19.791,15
6,7,Kimi RäikkönenRAI,Lotus Renault,1:20.867,1:20.243,1:19.851,17
7,4,Felipe MassaMAS,Ferrari,1:21.004,1:20.460,1:19.929,15
8,19,Daniel RicciardoRIC,STR Ferrari,1:21.181,1:20.527,1:20.641,14
9,6,Sergio PerezPER,McLaren Mercedes,1:21.612,1:20.545,1:22.398,16
10,2,Mark WebberWEB,Red Bull Racing Renault,1:21.264,1:20.503,DNF,13
11,15,Adrian SutilSUT,Force India Mercedes,1:21.471,1:20.569,,17
12,11,Nico HulkenbergHUL,Sauber Ferrari,1:21.028,1:20.580,,13
13,5,Jenson ButtonBUT,McLaren Mercedes,1:21.131,1:20.777,,10
14,18,Jean-Eric VergneVER,STR Ferrari,1:21.345,1:21.029,,12
15,16,Pastor MaldonadoMAL,Williams Renault,1:20.816,1:21.133,,15
16,17,Valtteri BottasBOT,Williams Renault,1:21.135,1:21.219,,13
17,12,Esteban Gutierrez GUT,Sauber Ferrari,1:21.724,,,11
18,14,Paul di RestaDIR,Force India Mercedes,1:22.043,,,11
19,20,Charles PicPIC,Caterham Renault,1:23.007,,,8
20,21,Giedo van der GardeVDG,Caterham Renault,1:23.333,,,7
21,22,Jules BianchiBIA,Marussia Cosworth,1:23.787,,,8
22,23,Max ChiltonCHI,Marussia Cosworth,1:23.997,,,8
