Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:37.899,1:37.245,1:49.674,13
2,4,Felipe MassaMAS,Ferrari,1:37.712,1:36.874,1:50.587,15
3,3,Fernando AlonsoALO,Ferrari,1:37.314,1:36.877,1:50.727,14
4,10,Lewis HamiltonHAM,Mercedes,1:37.513,1:36.517,1:51.699,15
5,2,Mark WebberWEB,Red Bull Racing Renault,1:37.619,1:36.449,1:52.244,14
6,9,Nico RosbergROS,Mercedes,1:37.239,1:36.190,1:52.519,14
7,7,Kimi RäikkönenRAI,Lotus Renault,1:36.959,1:36.640,1:52.970,12
8,5,Jenson ButtonBUT,McLaren Mercedes,1:37.487,1:37.117,1:53.175,14
9,15,Adrian SutilSUT,Force India Mercedes,1:36.809,1:36.834,1:53.439,12
10,6,Sergio PerezPER,McLaren Mercedes,1:37.702,1:37.342,1:54.136,16
11,8,Romain GrosjeanGRO,Lotus Renault,1:37.363,1:37.636,,7
12,11,Nico HulkenbergHUL,Sauber Ferrari,1:37.931,1:38.125,,12
13,19,Daniel RicciardoRIC,STR Ferrari,1:37.722,1:38.822,,12
14,12,Esteban Gutierrez GUT,Sauber Ferrari,1:37.707,1:39.221,,14
15,14,Paul di RestaDIR,Force India Mercedes,1:37.493,1:44.509,,10
16,16,Pastor MaldonadoMAL,Williams Renault,1:37.867,DNS,,10
17,18,Jean-Eric VergneVER,STR Ferrari,1:38.157,,,8
18,17,Valtteri BottasBOT,Williams Renault,1:38.207,,,7
19,22,Jules BianchiBIA,Marussia Cosworth,1:38.434,,,8
20,20,Charles PicPIC,Caterham Renault,1:39.314,,,6
21,23,Max ChiltonCHI,Marussia Cosworth,1:39.672,,,8
22,21,Giedo van der GardeVDG,Caterham Renault,1:39.932,,,6
