Pos,No,Driver,Car,Time
1,4,Stirling MossMOS,Cooper Climax,2:02.890
2,1,Jack BrabhamBRA,Cooper Climax,2:04.950
3,2,Masten GregoryGRE,Cooper Climax,2:06.330
4,5,Maurice  TrintignantTRI,Cooper Climax,2:07.380
5,7,Jo BonnierBON,BRM,2:07.860
6,16,Dan GurneyGUR,Ferrari,2:07.990
7,15,Phil HillHIL,Ferrari,2:08.020
8,3,Bruce McLarenMCL,Cooper Climax,2:08.170
9,6,Harry SchellSCH,BRM,2:09.080
10,14,Tony BrooksBRO,Ferrari,2:10.960
11,8,Ron FlockhartFLO,BRM,2:10.980
12,10,Roy SalvadoriSAL,Aston Martin,2:13.280
13,9,Carroll  Shelby SHE,Aston Martin,2:13.580
14,18,Mario  de Araujo Cabral DEA,Maserati,2:15.250
15,11,Graham HillHIL,Lotus Climax,2:15.550
16,12,Innes IrelandIRE,Lotus Climax,2:18.470
