Pos,No,Driver,Car,Time
1,14,Stirling MossMOS,Cooper Climax,1:39.700
2,30,Tony BrooksBRO,Ferrari,1:39.800
3,12,Jack BrabhamBRA,Cooper Climax,1:40.200
4,36,Dan GurneyGUR,Ferrari,1:40.800
5,32,Phil HillHIL,Ferrari,1:41.200
6,38,Olivier  GendebienGEN,Ferrari,1:41.400
7,2,Harry SchellSCH,BRM,1:41.600
8,34,Cliff AllisonALL,Ferrari,1:41.800
9,8,Bruce McLarenMCL,Cooper Climax,1:42.000
10,18,Graham HillHIL,Lotus Climax,1:42.900
11,6,Jo BonnierBON,BRM,1:43.100
12,10,Giorgio  Scarlatti SCA,Cooper Climax,1:43.300
13,16,Maurice  TrintignantTRI,Cooper Climax,1:43.400
14,20,Innes IrelandIRE,Lotus Climax,1:43.500
15,4,Ron FlockhartFLO,BRM,1:43.600
16,42,Ian Burgess BUR,Maserati,1:44.600
17,24,Roy SalvadoriSAL,Aston Martin,1:44.700
18,40,Colin  Davis DAV,Maserati,1:44.900
19,26,Carroll  Shelby SHE,Aston Martin,1:46.400
20,22,Jack  FairmanFAI,Cooper Climax,1:49.400
21,28,Giulio CabiancaCAB,Maserati,1:51.500
