Pos,No,Driver,Car,Time,Gap,Laps
1,5,Fernando AlonsoALO,Renault,1:44.506,,19
2,22,Lewis HamiltonHAM,McLaren Mercedes,1:45.119,+0.613s,13
3,2,Felipe MassaMAS,Ferrari,1:45.246,+0.740s,16
4,6,Nelson PiquetPIQ,Renault,1:45.249,+0.743s,18
5,7,Nico RosbergROS,Williams Toyota,1:45.386,+0.880s,17
6,16,Jenson ButtonBUT,Honda,1:45.409,+0.903s,20
7,4,Robert KubicaKUB,Sauber BMW,1:45.425,+0.919s,17
8,10,Mark WebberWEB,Red Bull Renault,1:45.450,+0.944s,21
9,15,Sebastian VettelVET,STR Ferrari,1:45.477,+0.971s,19
10,14,Sebastien BourdaisBOU,STR Ferrari,1:45.599,+1.093s,18
11,3,Nick HeidfeldHEI,Sauber BMW,1:45.689,+1.183s,19
12,8,Kazuki NakajimaNAK,Williams Toyota,1:45.982,+1.476s,18
13,23,Heikki KovalainenKOV,McLaren Mercedes,1:45.982,+1.476s,13
14,17,Rubens BarrichelloBAR,Honda,1:46.073,+1.567s,21
15,12,Timo GlockGLO,Toyota,1:46.180,+1.674s,23
16,11,Jarno TrulliTRU,Toyota,1:46.221,+1.715s,19
17,1,Kimi RäikkönenRAI,Ferrari,1:46.482,+1.976s,10
18,9,David CoulthardCOU,Red Bull Renault,1:46.794,+2.288s,6
19,21,Giancarlo FisichellaFIS,Force India Ferrari,1:47.166,+2.660s,14
20,20,Adrian SutilSUT,Force India Ferrari,1:47.727,+3.221s,19
