Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:29.402,,24
2,55,Carlos SainzSAI,Ferrari,1:30.279,+0.877s,25
3,1,Max VerstappenVER,Red Bull Racing RBPT,1:30.867,+1.465s,21
4,20,Kevin MagnussenMAG,Haas Ferrari,1:32.439,+3.037s,23
5,47,Mick SchumacherMSC,Haas Ferrari,1:32.988,+3.586s,23
6,11,Sergio PerezPER,Red Bull Racing RBPT,1:33.012,+3.610s,17
7,14,Fernando AlonsoALO,Alpine Renault,1:33.160,+3.758s,13
8,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:33.365,+3.963s,22
9,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:33.611,+4.209s,18
10,63,George RussellRUS,Mercedes,1:34.262,+4.860s,21
11,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:34.615,+5.213s,19
12,10,Pierre GaslyGAS,AlphaTauri RBPT,1:35.104,+5.702s,19
13,31,Esteban OconOCO,Alpine Renault,1:35.420,+6.018s,14
14,4,Lando NorrisNOR,McLaren Mercedes,1:35.502,+6.100s,12
15,3,Daniel RicciardoRIC,McLaren Mercedes,1:35.625,+6.223s,15
16,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:36.033,+6.631s,23
17,23,Alexander AlbonALB,Williams Mercedes,1:36.461,+7.059s,17
18,44,Lewis HamiltonHAM,Mercedes,1:36.464,+7.062s,17
19,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:37.450,+8.048s,22
20,6,Nicholas LatifiLAT,Williams Mercedes,1:39.698,+10.296s,15
