Pos,No,Driver,Car,Time,Gap,Laps
1,11,Sergio PerezPER,Red Bull Racing RBPT,1:45.476,,21
2,16,Charles LeclercLEC,Ferrari,1:45.603,+0.127s,21
3,1,Max VerstappenVER,Red Bull Racing RBPT,1:45.810,+0.334s,25
4,55,Carlos SainzSAI,Ferrari,1:46.012,+0.536s,22
5,14,Fernando AlonsoALO,Alpine Renault,1:46.571,+1.095s,22
6,44,Lewis HamiltonHAM,Mercedes,1:46.667,+1.191s,21
7,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:46.696,+1.220s,25
8,63,George RussellRUS,Mercedes,1:46.705,+1.229s,24
9,10,Pierre GaslyGAS,AlphaTauri RBPT,1:46.830,+1.354s,25
10,31,Esteban OconOCO,Alpine Renault,1:46.917,+1.441s,21
11,4,Lando NorrisNOR,McLaren Mercedes,1:47.691,+2.215s,19
12,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:47.847,+2.371s,24
13,20,Kevin MagnussenMAG,Haas Ferrari,1:47.946,+2.470s,24
14,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:47.970,+2.494s,22
15,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:48.078,+2.602s,22
16,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:48.222,+2.746s,24
17,23,Alexander AlbonALB,Williams Mercedes,1:48.419,+2.943s,22
18,3,Daniel RicciardoRIC,McLaren Mercedes,1:48.810,+3.334s,22
19,6,Nicholas LatifiLAT,Williams Mercedes,1:50.921,+5.445s,7
20,47,Mick SchumacherMSC,Haas Ferrari,1:58.332,+12.856s,3
