Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:30.772,,17
2,1,Max VerstappenVER,Red Bull Racing RBPT,1:30.888,+0.116s,24
3,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:31.084,+0.312s,22
4,55,Carlos SainzSAI,Ferrari,1:31.139,+0.367s,14
5,10,Pierre GaslyGAS,AlphaTauri RBPT,1:31.317,+0.545s,28
6,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:31.505,+0.733s,26
7,11,Sergio PerezPER,Red Bull Racing RBPT,1:31.563,+0.791s,25
8,31,Esteban OconOCO,Alpine Renault,1:32.026,+1.254s,26
9,44,Lewis HamiltonHAM,Mercedes,1:32.364,+1.592s,20
10,14,Fernando AlonsoALO,Alpine Renault,1:32.381,+1.609s,23
11,3,Daniel RicciardoRIC,McLaren Mercedes,1:32.506,+1.734s,24
12,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:32.582,+1.810s,23
13,4,Lando NorrisNOR,McLaren Mercedes,1:32.594,+1.822s,24
14,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:32.608,+1.836s,26
15,63,George RussellRUS,Mercedes,1:32.839,+2.067s,19
16,27,Nico HulkenbergHUL,Aston Martin Aramco Mercedes,1:33.034,+2.262s,23
17,23,Alexander AlbonALB,Williams Mercedes,1:33.087,+2.315s,25
18,6,Nicholas LatifiLAT,Williams Mercedes,1:33.529,+2.757s,26
19,47,Mick SchumacherMSC,Haas Ferrari,1:34.429,+3.657s,22
20,20,Kevin MagnussenMAG,Haas Ferrari,,,2
