Pos,No,Driver,Car,Time
1,2,Juan Manuel FangioFAN,Maserati,9:44.600
2,26,Stirling MossMOS,Vanwall,9:54.700
3,34,Luigi MussoMUS,Lanica Ferrari,10:00.000
4,4,Jean BehraBEH,Maserati,10:03.100
5,6,Harry SchellSCH,Maserati,10:04.600
6,28,Tony BrooksBRO,Vanwall,10:08.800
7,14,Masten GregoryGRE,Maserati,10:26.100
8,30,Stuart  Lewis-Evans LEW,Vanwall,10:29.600
9,16,Jo BonnierBON,Maserati,10:36.200
10,8,Giorgio  Scarlatti SCA,Maserati,10:36.600
11,18,Horace  Gould GOU,Maserati,10:49.600
12,10,Paco  GodiaGOD,Maserati,11:09.800
13,12,Luigi PiottiPIO,Maserati,11:10.600
14,20,Bruce  Halford HAL,Maserati,11:16.300
15,22,Roy SalvadoriSAL,Cooper Climax,11:24.200
16,24,Jack BrabhamBRA,Cooper Climax,11:35.200
