Pos,No,Driver,Car,Time
1,12,Pat  O'ConnorO'C,Kurtis Kraft Offenhauser,4:10.090
2,88,Eddie  SachsSAC,Kuzma Offenhauser,4:10.310
3,52,Troy RuttmanRUT,Watson Offenhauser,4:12.150
4,14,Fred AgabashianAGA,Kurtis Kraft Offenhauser,4:12.530
5,6,Johnny  BoydBOY,Kurtis Kraft Offenhauser,4:13.340
6,5,Jimmy ReeceREE,Kurtis Kraft Offenhauser,4:13.510
7,83,Ed  ElisianELI,Kurtis Kraft Offenhauser,4:13.920
8,16,Al  KellerKEL,Kurtis Kraft Offenhauser,4:14.600
9,23,Elmer  GeorgeGEO,Kurtis Kraft Offenhauser,4:15.810
10,54,Paul RussoRUS,Kurtis Kraft Novi,4:08.590
11,10,Johnny ThomsonTHO,Kuzma Offenhauser,4:10.820
12,73,Andy LindenLIN,Kurtis Kraft Offenhauser,4:11.320
13,9,Sam HanksHAN,Epperly Offenhauser,4:12.080
14,22,Gene HartleyHAR,Lesovsky Offenhauser,4:14.830
15,1,Jimmy BryanBRY,Kuzma Offenhauser,4:14.980
16,7,Bob  VeithVEI,Phillips Offenhauser,4:15.290
17,18,Johnnie  ParsonsPAR,Kurtis Kraft Offenhauser,4:15.710
18,77,Mike  MagillMAG,Kurtis Kraft Offenhauser,4:16.390
19,19,Jack  TurnerTUR,Kurtis Kraft Offenhauser,4:16.470
20,43,Eddie JohnsonJOH,Kurtis Kraft Offenhauser,4:16.830
21,3,Don  FreelandFRE,Kurtis Kraft Offenhauser,4:17.790
22,27,Tony  BettenhausenBET,Kurtis Kraft Novi,4:12.740
23,31,Bill  CheesbourgCHE,Kurtis Kraft Offenhauser,4:14.300
24,8,Rodger WardWAR,Lesovsky Offenhauser,4:14.740
25,82,Chuck  WeyantWEY,Kuzma Offenhauser,4:15.130
26,55,Eddie  RussoRUS,Kurtis Kraft Offenhauser,4:15.570
27,92,Don  EdmundsEDM,Kurtis Kraft Offenhauser,4:16.320
28,48,Marshall  TeagueTEA,Kurtis Kraft Offenhauser,4:16.540
29,57,Jimmy  DaywaltDAY,Kurtis Kraft Offenhauser,4:16.770
30,89,Al  HermanHER,Dunn Offenhauser,4:17.130
31,28,Johnnie  TolanTOL,Kuzma Offenhauser,4:17.430
32,26,Jim RathmannRAT,Epperly Offenhauser,4:17.500
33,95,Bob  ChristieCHR,Kurtis Kraft Offenhauser,4:17.550
