Pos,No,Driver,Car,Time,Gap,Laps
1,1,Mika HakkinenHAK,McLaren Mercedes,1:24.489,,22
2,2,David CoulthardCOU,McLaren Mercedes,1:25.151,+0.662s,28
3,3,Michael SchumacherMSC,Ferrari,1:25.301,+0.812s,29
4,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:25.406,+0.917s,24
5,7,Damon HillHIL,Jordan Mugen Honda,1:25.600,+1.111s,30
6,4,Eddie IrvineIRV,Ferrari,1:25.742,+1.253s,19
7,16,Rubens BarrichelloBAR,Stewart Ford,1:25.946,+1.457s,25
8,6,Ralf SchumacherRSC,Williams Supertec,1:26.250,+1.761s,30
9,17,Johnny HerbertHER,Stewart Ford,1:26.311,+1.822s,35
10,22,Jacques VilleneuveVIL,BAR Supertec,1:26.531,+2.042s,18
11,12,Pedro DinizDIN,Sauber Petronas,1:26.564,+2.075s,36
12,11,Jean AlesiALE,Sauber Petronas,1:26.676,+2.187s,28
13,23,Ricardo ZontaZON,BAR Supertec,1:27.157,+2.668s,29
14,10,Alexander WurzWUR,Benetton Playlife,1:27.193,+2.704s,35
15,5,Alessandro ZanardiZAN,Williams Supertec,1:27.250,+2.761s,26
16,9,Giancarlo FisichellaFIS,Benetton Playlife,1:27.254,+2.765s,28
17,19,Jarno TrulliTRU,Prost Peugeot,1:27.309,+2.820s,26
18,15,Toranosuke TakagiTAK,Arrows,1:27.782,+3.293s,26
19,18,Olivier PanisPAN,Prost Peugeot,1:27.864,+3.375s,29
20,14,Pedro de la RosaDLR,Arrows,1:27.977,+3.488s,27
21,20,Luca BadoerBAD,Minardi Ford,1:28.376,+3.887s,29
22,21,Marc GeneGEN,Minardi Ford,1:28.421,+3.932s,29
