Pos,No,Driver,Car,Time,Gap,Laps
1,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:51.047,,23
2,6,Ralf SchumacherRSC,Williams Supertec,1:51.417,+0.370s,25
3,2,David CoulthardCOU,McLaren Mercedes,1:51.729,+0.682s,23
4,7,Damon HillHIL,Jordan Mugen Honda,1:51.833,+0.786s,21
5,22,Jacques VilleneuveVIL,BAR Supertec,1:52.111,+1.064s,29
6,4,Eddie IrvineIRV,Ferrari,1:52.160,+1.113s,21
7,1,Mika HakkinenHAK,McLaren Mercedes,1:52.259,+1.212s,20
8,3,Mika SaloSAL,Ferrari,1:52.528,+1.481s,22
9,16,Rubens BarrichelloBAR,Stewart Ford,1:52.769,+1.722s,22
10,17,Johnny HerbertHER,Stewart Ford,1:52.849,+1.802s,23
11,19,Jarno TrulliTRU,Prost Peugeot,1:53.061,+2.014s,20
12,5,Alessandro ZanardiZAN,Williams Supertec,1:53.301,+2.254s,20
13,11,Jean AlesiALE,Sauber Petronas,1:53.317,+2.270s,20
14,10,Alexander WurzWUR,Benetton Playlife,1:53.325,+2.278s,18
15,9,Giancarlo FisichellaFIS,Benetton Playlife,1:53.463,+2.416s,16
16,18,Olivier PanisPAN,Prost Peugeot,1:53.595,+2.548s,16
17,23,Ricardo ZontaZON,BAR Supertec,1:53.926,+2.879s,15
18,12,Pedro DinizDIN,Sauber Petronas,1:54.112,+3.065s,26
19,15,Toranosuke TakagiTAK,Arrows,1:54.258,+3.211s,23
20,14,Pedro de la RosaDLR,Arrows,1:54.592,+3.545s,25
21,20,Luca BadoerBAD,Minardi Ford,1:54.768,+3.721s,22
22,21,Marc GeneGEN,Minardi Ford,1:54.860,+3.813s,26
