Pos,No,Driver,Car,Time,Gap,Laps
1,2,David CoulthardCOU,McLaren Mercedes,1:15.965,,27
2,1,Mika HakkinenHAK,McLaren Mercedes,1:16.144,+0.179s,24
3,4,Rubens BarrichelloBAR,Ferrari,1:16.679,+0.714s,25
4,9,Ralf SchumacherRSC,Williams BMW,1:16.827,+0.862s,16
5,6,Jarno TrulliTRU,Jordan Mugen Honda,1:16.956,+0.991s,30
6,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:16.983,+1.018s,23
7,7,Eddie IrvineIRV,Jaguar Cosworth,1:16.993,+1.028s,29
8,3,Michael SchumacherMSC,Ferrari,1:17.060,+1.095s,21
9,10,Jenson ButtonBUT,Williams BMW,1:17.104,+1.139s,27
10,8,Johnny HerbertHER,Jaguar Cosworth,1:17.135,+1.170s,28
11,11,Giancarlo FisichellaFIS,Benetton Playlife,1:17.372,+1.407s,25
12,18,Pedro de la RosaDLR,Arrows Supertec,1:17.446,+1.481s,26
13,17,Mika SaloSAL,Sauber Petronas,1:17.500,+1.535s,32
14,22,Jacques VilleneuveVIL,BAR Honda,1:17.580,+1.615s,30
15,12,Alexander WurzWUR,Benetton Playlife,1:17.660,+1.695s,28
16,19,Jos VerstappenVER,Arrows Supertec,1:17.744,+1.779s,26
17,23,Ricardo ZontaZON,BAR Honda,1:17.870,+1.905s,31
18,15,Nick HeidfeldHEI,Prost Peugeot,1:17.909,+1.944s,22
19,16,Pedro DinizDIN,Sauber Petronas,1:18.046,+2.081s,31
20,14,Jean AlesiALE,Prost Peugeot,1:18.211,+2.246s,26
21,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:18.759,+2.794s,28
22,20,Marc GeneGEN,Minardi Fondmetal,1:18.778,+2.813s,31
