Pos,No,Driver,Car,Time
1,2,Alberto AscariASC,Ferrari,2:10.590
2,22,Juan Manuel FangioFAN,Alfa Romeo,2:12.270
3,6,Jose Froilan GonzalezGON,Talbot-Lago,2:14.010
4,20,Nino FarinaFAR,Alfa Romeo,2:14.940
5,4,Luigi  VilloresiVIL,Ferrari,2:16.380
6,26,Toulo de GraffenriedDEG,Alfa Romeo,2:16.400
7,8,Piero  TaruffiTAR,Ferrari,2:16.800
8,24,Felice  BonettoBON,Alfa Romeo,2:21.800
9,14,Robert  ManzonMAN,Simca-Gordini,2:23.810
10,16,Andre  SimonSIM,Simca-Gordini,2:24.600
11,12,Maurice  TrintignantTRI,Simca-Gordini,2:25.250
12,30,Louis  ChironCHI,Maserati,2:30.320
13,34,Philippe  EtancelinETA,Talbot-Lago,2:31.000
14,32,Yves Giraud-CabantousGIR,Talbot-Lago,2:32.180
15,36,Johnny ClaesCLA,Talbot-Lago,2:34.460
16,38,Georges GrignardGRI,Talbot-Lago,2:36.580
17,44,Paco  GodiaGOD,Maserati,2:37.450
18,46,Juan JoverJOV,Maserati,2:41.990
19,18,Prince BiraBIR,Maserati OSCA,2:45.990
20,28,Louis  RosierROS,Talbot-Lago,2:46.780
