Pos,No,Driver,Car,Time
1,24,Juan Manuel FangioFAN,Alfa Romeo,2:35.900
2,22,Nino FarinaFAR,Alfa Romeo,2:37.800
3,18,Luigi  VilloresiVIL,Ferrari,2:39.300
4,28,Consalvo  SanesiSAN,Alfa Romeo,2:40.300
5,26,Toulo de GraffenriedDEG,Alfa Romeo,2:41.800
6,44,Piero  TaruffiTAR,Ferrari,2:45.200
7,20,Alberto AscariASC,Ferrari,2:46.000
8,8,Louis  RosierROS,Talbot-Lago,2:52.700
9,16,Peter  WhiteheadWHI,Ferrari,2:52.900
10,38,Rudi  Fischer FIS,Ferrari,2:54.100
11,10,Henri LouveauLOU,Talbot-Lago,2:56.200
12,4,Philippe  EtancelinETA,Talbot-Lago,2:57.300
13,42,Jose Froilan GonzalezGON,Talbot-Lago,2:57.300
14,14,Stirling MossMOS,HWM Alta,2:58.400
15,6,Yves Giraud-CabantousGIR,Talbot-Lago,3:00.300
16,52,Peter HirtHIR,Veritas,3:01.600
17,32,Harry SchellSCH,Maserati,3:02.400
18,2,Johnny ClaesCLA,Talbot-Lago,3:02.500
19,30,Louis  ChironCHI,Maserati,3:03.100
20,12,George  Abecassis ABE,HWM Alta,3:03.800
21,40,Guy  MairesseMAI,Talbot-Lago,3:12.000
