Pos,No,Driver,Car,Time
1,4,Clay RegazzoniREG,Ferrari,1:41.860
2,1,Jackie StewartSTE,Tyrrell Ford,1:41.880
3,3,Jacky IckxICK,Ferrari,1:42.410
4,15,Jack BrabhamBRA,Brabham Ford,1:43.570
5,12,Chris AmonAMO,March Ford,1:43.710
6,6,Jean-Pierre BeltoiseBEL,Matra,1:43.820
7,19,Pedro RodriguezROD,BRM,1:44.010
8,14,Graham HillHIL,Lotus Ford,1:44.130
9,2,Francois  Cevert CEV,Tyrrell Ford,1:44.210
10,9,Peter  Gethin GET,McLaren Alfa Romeo,1:44.460
11,7,Henri PescaroloPES,Matra,1:44.550
12,23,Reine   WisellWIS,Lotus Ford,1:44.590
13,20,Jackie OliverOLI,BRM,1:44.700
14,8,Denny HulmeHUL,McLaren Alfa Romeo,1:44.950
15,17,John SurteesSUR,McLaren Ford,1:45.030
16,11,Jo SiffertSIF,March Ford,1:46.150
17,16,Rolf StommelenSTO,Brabham Ford,1:46.300
18,24,Emerson FittipaldiFIT,Lotus Ford,1:48.130
