Pos,No,Driver,Car,Laps,Time/retired,Pts
1,4,Eddie IrvineIRV,Ferrari,71,1:28:12.438,10
2,2,David CoulthardCOU,McLaren Mercedes,71,+0.313s,6
3,1,Mika HakkinenHAK,McLaren Mercedes,71,+22.282s,4
4,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,71,+52.803s,3
5,10,Alexander WurzWUR,Benetton Playlife,71,+66.358s,2
6,12,Pedro DinizDIN,Sauber Petronas,71,+70.933s,1
7,19,Jarno TrulliTRU,Prost Peugeot,70,+1 lap,0
8,7,Damon HillHIL,Jordan Mugen Honda,70,+1 lap,0
9,3,Mika SaloSAL,Ferrari,70,+1 lap,0
10,18,Olivier PanisPAN,Prost Peugeot,70,+1 lap,0
11,21,Marc GeneGEN,Minardi Ford,70,+1 lap,0
12,9,Giancarlo FisichellaFIS,Benetton Playlife,68,DNF,0
13,20,Luca BadoerBAD,Minardi Ford,68,+3 laps,0
14,17,Johnny HerbertHER,Stewart Ford,67,+4 laps,0
15,23,Ricardo ZontaZON,BAR Supertec,63,DNF,0
NC,16,Rubens BarrichelloBAR,Stewart Ford,55,DNF,0
NC,11,Jean AlesiALE,Sauber Petronas,49,DNF,0
NC,14,Pedro de la RosaDLR,Arrows,38,DNF,0
NC,5,Alessandro ZanardiZAN,Williams Supertec,35,DNF,0
NC,22,Jacques VilleneuveVIL,BAR Supertec,34,DNF,0
NC,15,Toranosuke TakagiTAK,Arrows,25,DNF,0
NC,6,Ralf SchumacherRSC,Williams Supertec,8,DNF,0
