Pos,No,Driver,Car,Laps,Time/retired,Pts
1,6,Keke RosbergROS,Williams Honda,63,1:55:39.851,9
2,28,Stefan JohanssonJOH,Ferrari,63,+57.549s,6
3,27,Michele AlboretoALB,Ferrari,63,+63.170s,4
4,4,Stefan BellofBEL,Tyrrell Ford,63,+66.225s,3
5,11,Elio de AngelisDEA,Lotus Renault,63,+86.966s,2
6,7,Nelson PiquetPIQ,Brabham BMW,62,+1 lap,1
7,18,Thierry BoutsenBOU,Arrows BMW,62,+1 lap,0
8,8,Marc SurerSUR,Brabham BMW,62,+1 lap,0
9,23,Eddie  CheeverCHE,Alfa Romeo,61,+2 laps,0
10,25,Andrea de CesarisDEC,Ligier Renault,61,+2 laps,0
11,17,Gerhard BergerBER,Arrows BMW,60,+3 laps,0
12,26,Jacques LaffiteLAF,Ligier Renault,58,+5 laps,0
NC,12,Ayrton SennaSEN,Lotus Renault,51,DNF,0
NC,3,Martin BrundleBRU,Tyrrell Ford,30,DNF,0
NC,10,Philippe AlliotALL,RAM Hart,27,DNF,0
NC,5,Nigel MansellMAN,Williams Honda,26,DNF,0
NC,2,Alain ProstPRO,McLaren TAG,19,DNF,0
NC,22,Riccardo PatresePAT,Alfa Romeo,19,DNF,0
NC,16,Derek WarwickWAR,Renault,18,DNF,0
NC,15,Patrick TambayTAM,Renault,15,DNF,0
NC,29,Pierluigi MartiniMAR,Minardi Motori Moderni,11,DNF,0
NC,1,Niki LaudaLAU,McLaren TAG,10,DNF,0
NC,19,Teo FabiFAB,Toleman Hart,4,DNF,0
NC,9,Manfred WinkelhockWIN,RAM Hart,3,DNF,0
NC,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,,DNS,0
